Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 29929 56726.821137 z 15.109 0.011 
 29929 56726.821562 z 15.119 0.013 
 29929 56726.841542 z 15.140 0.011 
 29929 56726.841984 z 15.133 0.011 
 29929 56726.861683 z 15.148 0.011 
 29929 56726.862115 z 15.147 0.012 
 29929 56726.882066 z 15.163 0.012 
 29929 56726.882514 z 15.145 0.011 
 29929 56726.902182 z 15.164 0.012 
 29929 56726.902619 z 15.158 0.012 
 29940 56451.722332 u 15.944 0.011 
 29940 56451.723139 u 15.940 0.013 
 29940 56452.499995 u 16.024 0.012 
 29940 56452.613786 u 15.927 0.012 
 29940 56452.614566 u 15.925 0.013 
 29940 56452.702727 u 15.001 0.010 
 29940 56452.703502 u 15.011 0.010 
 29940 56452.756899 u 15.137 0.010 
 29940 56453.475292 u 15.191 0.013 
 29940 56453.571283 u 15.512 0.012 
 29940 56453.571960 u 15.536 0.011 
 29940 56453.682464 u 15.794 0.012 
 29940 56724.818405 u 15.689 0.011 
 29940 56724.841213 u 15.738 0.010 
 29940 56724.861812 u 15.790 0.012 
 29940 56724.885357 u 15.859 0.011 
 29940 56725.827970 u 16.112 0.011 
 29940 56725.828639 u 16.103 0.012 
 29940 56725.848211 u 16.120 0.012 
 29940 56725.848901 u 16.099 0.012 
 29940 56725.879254 u 15.978 0.010 
 29940 56726.822954 u 15.494 0.012 
 29940 56726.823632 u 15.501 0.012 
 29940 56726.903935 u 15.685 0.012 
 29940 56726.904600 u 15.726 0.013 
 29940 56451.721220 g 15.267 0.010 
 29940 56451.721773 g 15.275 0.011 
 29940 56452.499102 g 15.329 0.011 
 29940 56452.499554 g 15.346 0.012 
 29940 56452.612929 g 15.314 0.012 
 29940 56452.613357 g 15.296 0.011 
 29940 56452.701691 g 14.528 0.010 
 29940 56452.702231 g 14.513 0.010 
 29940 56452.755016 g 14.656 0.010 
 29940 56452.755566 g 14.677 0.010 
 29940 56453.467899 g 14.660 0.012 
 29940 56453.474437 g 14.584 0.013 
 29940 56453.479965 g 14.873 0.012 
 29940 56453.480388 g 14.740 0.011 
 29940 56453.570419 g 14.923 0.010 
 29940 56453.570859 g 14.924 0.010 
 29940 56453.578284 g 14.946 0.011 
 29940 56453.681369 g 15.064 0.011 
 29940 56453.751591 g 15.247 0.014 
 29940 56453.752177 g 15.239 0.011 
 29940 56465.458279 g 14.950 0.011 
 29940 56465.465990 g 14.972 0.011 
 29940 56465.466423 g 14.979 0.012 
 29940 56724.817498 g 15.080 0.010 
 29940 56724.817962 g 15.061 0.010 
 29940 56724.840334 g 15.114 0.011 
 29940 56724.840768 g 15.111 0.010 
 29940 56724.860922 g 15.160 0.010 
 29940 56724.861365 g 15.165 0.011 
 29940 56724.883814 g 15.187 0.010 
 29940 56724.884254 g 15.183 0.010 
 29940 56725.827082 g 15.444 0.011 
 29940 56725.827515 g 15.433 0.010 
 29940 56725.847325 g 15.442 0.011 
 29940 56725.847757 g 15.456 0.010 
 29940 56725.877691 g 15.325 0.010 
 29940 56725.878141 g 15.324 0.010 
 29940 56726.812985 g 14.887 0.011 
 29940 56726.813433 g 14.875 0.010 
 29940 56726.822069 g 14.908 0.011 
 29940 56726.822504 g 14.907 0.010 
 29940 56726.842416 g 14.948 0.010 
 29940 56726.842855 g 14.951 0.010 
 29940 56726.862556 g 14.977 0.010 
 29940 56726.862992 g 14.973 0.010 
 29940 56726.882952 g 15.020 0.010 
 29940 56726.883409 g 15.016 0.010 
 29940 56726.903067 g 15.033 0.010 
 29940 56726.903508 g 15.050 0.011 
 29940 56451.717357 r 14.955 0.011 
 29940 56451.718102 r 14.975 0.011 
 29940 56451.718635 r 14.951 0.011 
 29940 56452.495761 r 15.012 0.011 
 29940 56452.496463 r 15.029 0.013 
 29940 56452.496898 r 15.039 0.012 
 29940 56452.502189 r 15.021 0.012 
 29940 56452.609624 r 15.058 0.012 
 29940 56452.610313 r 15.048 0.012 
 29940 56452.610753 r 15.034 0.012 
 29940 56452.697765 r 14.466 0.010 
 29940 56452.698514 r 14.484 0.011 
 29940 56452.699052 r 14.469 0.010 
 29940 56452.751003 r 14.536 0.012 
 29940 56452.751804 r 14.525 0.010 
 29940 56452.752352 r 14.521 0.011 
 29940 56453.465704 r 14.598 0.010 
 29940 56453.476666 r 14.659 0.011 
 29940 56453.567081 r 14.719 0.010 
 29940 56453.567781 r 14.707 0.010 
 29940 56453.568211 r 14.708 0.011 
 29940 56453.574528 r 14.703 0.011 
 29940 56453.575206 r 14.710 0.010 
 29940 56453.575657 r 14.698 0.011 
 29940 56453.677469 r 14.855 0.012 
 29940 56453.678173 r 14.805 0.012 
 29940 56453.678605 r 14.946 0.013 
 29940 56453.747565 r 14.916 0.010 
 29940 56453.748378 r 14.899 0.010 
 29940 56453.748937 r 14.933 0.011 
 29940 56465.454568 r 14.725 0.011 
 29940 56465.455249 r 14.739 0.012 
 29940 56465.455691 r 14.745 0.011 
 29940 56465.463356 r 14.749 0.011 
 29940 56465.463783 r 14.745 0.010 
 29940 56724.814885 r 14.800 0.011 
 29940 56724.815323 r 14.803 0.010 
 29940 56724.837694 r 14.824 0.010 
 29940 56724.838133 r 14.821 0.010 
 29940 56724.858302 r 14.856 0.010 
 29940 56724.858738 r 14.859 0.010 
 29940 56724.881636 r 14.879 0.010 
 29940 56725.824447 r 15.103 0.012 
 29940 56725.824889 r 15.112 0.011 
 29940 56725.844726 r 15.116 0.011 
 29940 56725.845162 r 15.116 0.010 
 29940 56725.875055 r 15.073 0.011 
 29940 56725.875495 r 15.071 0.011 
 29940 56726.810271 r 14.689 0.011 
 29940 56726.810697 r 14.677 0.011 
 29940 56726.819387 r 14.707 0.012 
 29940 56726.819819 r 14.692 0.010 
 29940 56726.839819 r 14.710 0.010 
 29940 56726.840245 r 14.710 0.011 
 29940 56726.859958 r 14.729 0.010 
 29940 56726.860383 r 14.740 0.010 
 29940 56726.880322 r 14.755 0.011 
 29940 56726.880764 r 14.749 0.010 
 29940 56726.900425 r 14.773 0.010 
 29940 56726.900873 r 14.778 0.010 
 29940 56451.719126 i 14.880 0.012 
 29940 56451.719677 i 14.883 0.010 
 29940 56452.497345 i 14.963 0.011 
 29940 56452.497785 i 14.954 0.011 
 29940 56452.611183 i 14.993 0.014 
 29940 56452.611621 i 14.989 0.012 
 29940 56452.699593 i 14.537 0.012 
 29940 56452.700079 i 14.536 0.010 
 29940 56452.752902 i 14.564 0.012 
 29940 56452.753449 i 14.557 0.011 
 29940 56453.466139 i 14.607 0.010 
 29940 56453.466599 i 14.624 0.012 
 29940 56453.473140 i 14.686 0.017 
 29940 56453.568639 i 14.669 0.012 
 29940 56453.569078 i 14.676 0.011 
 29940 56453.576087 i 14.704 0.011 
 29940 56453.679063 i 14.795 0.012 
 29940 56453.679504 i 14.747 0.012 
 29940 56453.749491 i 14.858 0.012 
 29940 56465.456542 i 14.711 0.012 
 29940 56465.464214 i 14.702 0.011 
 29940 56465.464655 i 14.719 0.010 
 29940 56724.815764 i 14.768 0.010 
 29940 56724.816199 i 14.752 0.011 
 29940 56724.838569 i 14.762 0.011 
 29940 56724.859179 i 14.798 0.010 
 29940 56724.859614 i 14.800 0.010 
 29940 56724.882066 i 14.829 0.010 
 29940 56724.882496 i 14.818 0.011 
 29940 56725.825782 i 15.026 0.011 
 29940 56725.845598 i 15.063 0.011 
 29940 56725.846027 i 15.055 0.011 
 29940 56725.875926 i 15.019 0.011 
 29940 56726.811144 i 14.671 0.012 
 29940 56451.720223 z 14.846 0.011 
 29940 56451.720708 z 14.869 0.010 
 29940 56452.498233 z 14.913 0.014 
 29940 56452.498661 z 14.904 0.011 
 29940 56452.612057 z 14.943 0.013 
 29940 56452.612487 z 14.982 0.011 
 29940 56452.700608 z 14.536 0.012 
 29940 56452.701148 z 14.540 0.010 
 29940 56452.753959 z 14.561 0.012 
 29940 56452.754501 z 14.558 0.010 
 29940 56453.467450 z 14.621 0.015 
 29940 56453.479073 z 14.633 0.011 
 29940 56453.479532 z 14.454 0.012 
 29940 56453.569520 z 14.672 0.013 
 29940 56453.569950 z 14.646 0.012 
 29940 56453.679926 z 14.798 0.014 
 29940 56453.680353 z 14.776 0.012 
 29940 56453.750520 z 14.848 0.013 
 29940 56453.751075 z 14.791 0.012 
 29940 56465.457415 z 14.685 0.012 
 29940 56465.465093 z 14.672 0.012 
 29940 56465.465539 z 14.690 0.011 
 29940 56724.816635 z 14.734 0.011 
 29940 56724.817063 z 14.718 0.012 
 29940 56724.839453 z 14.733 0.010 
 29940 56724.839896 z 14.737 0.010 
 29940 56724.860045 z 14.764 0.012 
 29940 56724.860476 z 14.752 0.010 
 29940 56724.882934 z 14.771 0.011 
 29940 56724.883370 z 14.784 0.010 
 29940 56725.826223 z 14.997 0.011 
 29940 56725.826647 z 14.992 0.012 
 29940 56725.846455 z 15.019 0.012 
 29940 56725.846892 z 15.015 0.012 
 29940 56725.876824 z 14.976 0.011 
 29940 56725.877247 z 14.976 0.012 
 29940 56726.812106 z 14.646 0.012 
 29940 56726.812548 z 14.647 0.012 
 29940 56726.821137 z 14.657 0.012 
 29940 56726.821562 z 14.650 0.014 
 29940 56726.841542 z 14.664 0.010 
 29940 56726.841984 z 14.665 0.011 
 29940 56726.861683 z 14.682 0.011 
 29940 56726.862115 z 14.673 0.010 
 29940 56726.882066 z 14.687 0.012 
 29940 56726.882514 z 14.694 0.011 
 29940 56726.902182 z 14.693 0.012 
 29940 56726.902619 z 14.703 0.012 
 29988 56451.722332 u 16.244 0.012 
 29988 56451.723139 u 16.265 0.014 
 29988 56452.613786 u 15.977 0.012 
 29988 56452.614566 u 15.963 0.013 
 29988 56452.702727 u 16.256 0.013 
 29988 56452.703502 u 16.249 0.013 
 29988 56452.756113 u 16.330 0.014 
 29988 56452.756899 u 16.293 0.013 
 29988 56453.475292 u 15.410 0.014 
 29988 56453.571283 u 15.884 0.012 
 29988 56453.571960 u 15.901 0.012 
 29988 56453.578740 u 15.913 0.013 
 29988 56453.579412 u 15.912 0.012 
 29988 56453.681792 u 16.405 0.025 
 29988 56453.682464 u 16.233 0.014 
 29988 56467.466971 u 15.419 0.011 
 29988 56467.467647 u 15.455 0.011 
 29988 56724.818405 u 15.570 0.011 
 29988 56724.841881 u 15.698 0.011 
 29988 56724.861812 u 15.782 0.013 
 29988 56724.885357 u 15.868 0.012 
 29988 56725.827970 u 15.745 0.010 
 29988 56725.828639 u 15.732 0.011 
 29988 56725.848211 u 15.822 0.011 
 29988 56725.848901 u 15.816 0.011 
 29988 56725.879254 u 15.966 0.011 
 29988 56726.813869 u 15.788 0.010 
 29988 56726.814544 u 15.790 0.012 
 29988 56726.822954 u 15.820 0.012 
 29988 56726.843999 u 15.877 0.041 
 29988 56726.863423 u 16.111 0.036 
 29988 56726.864099 u 15.961 0.010 
 29988 56726.903935 u 16.020 0.012 
 29988 56726.904600 u 16.040 0.012 
 29988 56451.721220 g 15.621 0.011 
 29988 56451.721773 g 15.606 0.012 
 29988 56452.499102 g 14.803 0.011 
 29988 56452.499554 g 14.827 0.013 
 29988 56452.612929 g 15.345 0.011 
 29988 56452.613357 g 15.373 0.011 
 29988 56452.701691 g 15.618 0.010 
 29988 56452.702231 g 15.599 0.010 
 29988 56452.755016 g 15.672 0.010 
 29988 56452.755566 g 15.675 0.010 
 29988 56453.467899 g 14.866 0.011 
 29988 56453.474437 g 14.899 0.014 
 29988 56453.479965 g 14.737 0.012 
 29988 56453.480388 g 14.917 0.011 
 29988 56453.570419 g 15.299 0.010 
 29988 56453.570859 g 15.297 0.010 
 29988 56453.577840 g 15.331 0.011 
 29988 56453.578284 g 15.323 0.011 
 29988 56453.751591 g 15.687 0.015 
 29988 56453.752177 g 15.637 0.010 
 29988 56465.458279 g 15.583 0.011 
 29988 56465.465990 g 15.512 0.011 
 29988 56465.466423 g 15.496 0.012 
 29988 56467.466080 g 14.950 0.010 
 29988 56467.466518 g 14.934 0.011 
 29988 56724.817498 g 15.052 0.010 
 29988 56724.817962 g 15.040 0.010 
 29988 56724.840334 g 15.128 0.011 
 29988 56724.840768 g 15.132 0.010 
 29988 56724.860922 g 15.224 0.010 
 29988 56724.861365 g 15.214 0.011 
 29988 56724.883814 g 15.291 0.010 
 29988 56724.884254 g 15.287 0.010 
 29988 56725.827082 g 15.167 0.010 
 29988 56725.827515 g 15.186 0.010 
 29988 56725.847325 g 15.262 0.010 
 29988 56725.847757 g 15.270 0.010 
 29988 56725.877691 g 15.354 0.010 
 29988 56725.878141 g 15.335 0.010 
 29988 56726.812985 g 15.230 0.011 
 29988 56726.813433 g 15.235 0.011 
 29988 56726.822069 g 15.267 0.011 
 29988 56726.822504 g 15.253 0.010 
 29988 56726.842416 g 15.325 0.010 
 29988 56726.842855 g 15.328 0.010 
 29988 56726.862556 g 15.370 0.010 
 29988 56726.862992 g 15.363 0.010 
 29988 56726.882952 g 15.401 0.010 
 29988 56726.883409 g 15.402 0.011 
 29988 56726.903067 g 15.423 0.011 
 29988 56726.903508 g 15.423 0.011 
 29988 56451.717357 r 15.321 0.011 
 29988 56451.718102 r 15.311 0.011 
 29988 56451.718635 r 15.339 0.011 
 29988 56452.495761 r 14.751 0.011 
 29988 56452.496463 r 14.783 0.011 
 29988 56452.496898 r 14.762 0.012 
 29988 56452.502189 r 14.793 0.012 
 29988 56452.609624 r 15.132 0.011 
 29988 56452.610313 r 15.141 0.012 
 29988 56452.610753 r 15.152 0.013 
 29988 56452.697765 r 15.314 0.010 
 29988 56452.698514 r 15.324 0.010 
 29988 56452.699052 r 15.311 0.011 
 29988 56452.751003 r 15.368 0.011 
 29988 56452.751804 r 15.358 0.011 
 29988 56452.752352 r 15.357 0.011 
 29988 56453.465704 r 14.947 0.011 
 29988 56453.476666 r 14.699 0.011 
 29988 56453.567081 r 15.088 0.010 
 29988 56453.567781 r 15.108 0.010 
 29988 56453.568211 r 15.080 0.011 
 29988 56453.574528 r 15.091 0.011 
 29988 56453.575206 r 15.111 0.010 
 29988 56453.575657 r 15.103 0.011 
 29988 56453.677469 r 15.332 0.011 
 29988 56453.678173 r 15.322 0.013 
 29988 56453.678605 r 15.237 0.013 
 29988 56453.747565 r 15.380 0.010 
 29988 56453.748378 r 15.373 0.010 
 29988 56453.748937 r 15.370 0.012 
 29988 56465.454568 r 15.318 0.010 
 29988 56465.455249 r 15.336 0.012 
 29988 56465.455691 r 15.302 0.011 
 29988 56465.462665 r 15.310 0.012 
 29988 56465.463356 r 15.307 0.012 
 29988 56465.463783 r 15.312 0.010 
 29988 56467.462713 r 14.936 0.010 
 29988 56467.463393 r 14.928 0.010 
 29988 56467.463847 r 14.910 0.010 
 29988 56724.814885 r 14.934 0.011 
 29988 56724.815323 r 14.942 0.010 
 29988 56724.837694 r 14.988 0.010 
 29988 56724.838133 r 14.975 0.010 
 29988 56724.858302 r 15.028 0.010 
 29988 56724.858738 r 15.031 0.010 
 29988 56724.881196 r 15.084 0.010 
 29988 56724.881636 r 15.075 0.010 
 29988 56725.824447 r 15.008 0.010 
 29988 56725.824889 r 15.022 0.010 
 29988 56725.844726 r 15.054 0.011 
 29988 56725.845162 r 15.056 0.010 
 29988 56725.875055 r 15.116 0.011 
 29988 56725.875495 r 15.112 0.011 
 29988 56726.810271 r 15.039 0.010 
 29988 56726.810697 r 15.033 0.010 
 29988 56726.819387 r 15.062 0.010 
 29988 56726.819819 r 15.056 0.010 
 29988 56726.839819 r 15.100 0.010 
 29988 56726.840245 r 15.103 0.011 
 29988 56726.859958 r 15.126 0.011 
 29988 56726.860383 r 15.136 0.011 
 29988 56726.880322 r 15.154 0.011 
 29988 56726.880764 r 15.146 0.010 
 29988 56726.900425 r 15.168 0.010 
 29988 56726.900873 r 15.170 0.010 
 29988 56451.719126 i 15.285 0.011 
 29988 56451.719677 i 15.300 0.010 
 29988 56452.497345 i 14.841 0.011 
 29988 56452.497785 i 14.837 0.010 
 29988 56452.611183 i 15.127 0.011 
 29988 56452.611621 i 15.110 0.012 
 29988 56452.699593 i 15.262 0.013 
 29988 56452.700079 i 15.271 0.011 
 29988 56452.752902 i 15.301 0.011 
 29988 56452.753449 i 15.313 0.012 
 29988 56453.466139 i 14.841 0.010 
 29988 56453.466599 i 14.812 0.011 
 29988 56453.472711 i 14.767 0.027 
 29988 56453.473140 i 14.869 0.023 
 29988 56453.478647 i 14.788 0.011 
 29988 56453.568639 i 15.137 0.012 
 29988 56453.569078 i 15.226 0.012 
 29988 56453.576087 i 15.097 0.010 
 29988 56453.576522 i 15.096 0.012 
 29988 56453.679063 i 15.287 0.011 
 29988 56453.679504 i 15.238 0.011 
 29988 56453.749491 i 15.277 0.013 
 29988 56465.456542 i 15.332 0.012 
 29988 56465.464214 i 15.299 0.011 
 29988 56465.464655 i 15.274 0.011 
 29988 56467.464288 i 15.012 0.011 
 29988 56467.464715 i 14.985 0.011 
 29988 56724.815764 i 14.979 0.010 
 29988 56724.816199 i 14.972 0.011 
 29988 56724.838569 i 15.003 0.010 
 29988 56724.859179 i 15.022 0.010 
 29988 56724.859614 i 15.042 0.010 
 29988 56724.882066 i 15.062 0.010 
 29988 56724.882496 i 15.072 0.010 
 29988 56725.845598 i 15.057 0.010 
 29988 56725.846027 i 15.060 0.011 
 29988 56725.875926 i 15.103 0.011 
 29988 56726.811144 i 15.045 0.010 
 29988 56726.811663 i 15.051 0.010 
 29988 56726.820248 i 15.054 0.011 
 29988 56726.820689 i 15.051 0.011 
 29988 56726.881188 i 15.128 0.011 
 29988 56451.720223 z 15.277 0.011 
 29988 56451.720708 z 15.254 0.010 
 29988 56452.498233 z 14.861 0.011 
 29988 56452.498661 z 14.835 0.011 
 29988 56452.612057 z 15.094 0.013 
 29988 56452.612487 z 15.095 0.011 
 29988 56452.700608 z 15.238 0.012 
 29988 56452.701148 z 15.240 0.010 
 29988 56452.753959 z 15.267 0.011 
 29988 56452.754501 z 15.279 0.011 
 29988 56453.467450 z 14.839 0.014 
 29988 56453.479073 z 14.880 0.011 
 29988 56453.479532 z 14.966 0.012 
 29988 56453.569520 z 15.070 0.011 
 29988 56453.569950 z 15.041 0.011 
 29988 56453.576983 z 15.069 0.011 
 29988 56453.577412 z 15.019 0.014 
 29988 56453.680353 z 15.231 0.012 
 29988 56453.751075 z 15.307 0.013 
 29988 56465.457415 z 15.282 0.012 
 29988 56465.465093 z 15.265 0.011 
 29988 56465.465539 z 15.251 0.012 
 29988 56467.465179 z 14.988 0.011 
 29988 56467.465622 z 14.976 0.011 
 29988 56724.816635 z 14.953 0.010 
 29988 56724.817063 z 14.949 0.011 
 29988 56724.839453 z 14.975 0.011 
 29988 56724.839896 z 14.984 0.011 
 29988 56724.860045 z 15.007 0.012 
 29988 56724.860476 z 15.030 0.010 
 29988 56724.882934 z 15.059 0.011 
 29988 56724.883370 z 15.056 0.010 
 29988 56725.826223 z 15.002 0.011 
 29988 56725.826647 z 15.005 0.012 
 29988 56725.846455 z 15.027 0.010 
 29988 56725.846892 z 15.037 0.011 
 29988 56725.876824 z 15.075 0.011 
 29988 56725.877247 z 15.072 0.011 
 29988 56726.812106 z 15.026 0.012 
 29988 56726.812548 z 15.025 0.010 
 29988 56726.821137 z 15.044 0.012 
 29988 56726.821562 z 15.053 0.013 
 29988 56726.841542 z 15.062 0.010 
 29988 56726.841984 z 15.066 0.011 
 29988 56726.861683 z 15.080 0.011 
 29988 56726.862115 z 15.080 0.010 
 29988 56726.882066 z 15.102 0.012 
 29988 56726.882514 z 15.097 0.011 
 29988 56726.902182 z 15.123 0.011 
 29988 56726.902619 z 15.125 0.014 
 30011 56451.722332 u 15.735 0.011 
 30011 56451.723139 u 15.714 0.013 
 30011 56452.499995 u 15.441 0.011 
 30011 56452.500658 u 15.424 0.011 
 30011 56452.613786 u 15.873 0.012 
 30011 56452.614566 u 15.868 0.014 
 30011 56452.702727 u 15.930 0.012 
 30011 56452.703502 u 15.957 0.014 
 30011 56452.756113 u 15.507 0.011 
 30011 56452.756899 u 15.520 0.011 
 30011 56453.481520 u 15.494 0.012 
 30011 56453.571283 u 15.637 0.013 
 30011 56453.578740 u 15.674 0.012 
 30011 56453.579412 u 15.642 0.012 
 30011 56453.681792 u 15.984 0.018 
 30011 56453.682464 u 15.955 0.014 
 30011 56467.466971 u 15.999 0.012 
 30011 56467.467647 u 15.985 0.013 
 30011 56724.818405 u 15.583 0.013 
 30011 56724.841213 u 15.707 0.011 
 30011 56724.841881 u 15.715 0.012 
 30011 56724.861812 u 15.809 0.012 
 30011 56724.862477 u 15.795 0.011 
 30011 56724.884692 u 15.874 0.012 
 30011 56724.885357 u 15.855 0.011 
 30011 56725.827970 u 15.584 0.010 
 30011 56725.828639 u 15.573 0.011 
 30011 56725.848211 u 15.679 0.011 
 30011 56725.878581 u 15.824 0.011 
 30011 56725.879254 u 15.826 0.010 
 30011 56726.813869 u 15.505 0.010 
 30011 56726.814544 u 15.515 0.011 
 30011 56726.822954 u 15.523 0.011 
 30011 56726.864099 u 15.723 0.010 
 30011 56726.903935 u 15.878 0.015 
 30011 56726.904600 u 15.891 0.015 
 30011 56451.721220 g 15.203 0.011 
 30011 56451.721773 g 15.209 0.011 
 30011 56452.499102 g 14.922 0.011 
 30011 56452.499554 g 14.926 0.013 
 30011 56452.612929 g 15.268 0.011 
 30011 56452.613357 g 15.301 0.014 
 30011 56452.701691 g 15.351 0.011 
 30011 56452.702231 g 15.350 0.011 
 30011 56452.755016 g 15.046 0.010 
 30011 56452.755566 g 15.046 0.010 
 30011 56453.467899 g 14.991 0.012 
 30011 56453.474437 g 14.911 0.015 
 30011 56453.479965 g 14.840 0.012 
 30011 56453.480388 g 14.972 0.012 
 30011 56453.570419 g 15.083 0.010 
 30011 56453.570859 g 15.082 0.011 
 30011 56453.577840 g 15.120 0.010 
 30011 56453.578284 g 15.124 0.011 
 30011 56453.681369 g 15.344 0.010 
 30011 56453.751591 g 15.157 0.015 
 30011 56453.752177 g 15.098 0.011 
 30011 56465.458279 g 15.373 0.011 
 30011 56465.465990 g 15.372 0.011 
 30011 56465.466423 g 15.389 0.012 
 30011 56467.466080 g 15.409 0.012 
 30011 56467.466518 g 15.386 0.012 
 30011 56724.817498 g 15.061 0.011 
 30011 56724.817962 g 15.046 0.010 
 30011 56724.840334 g 15.161 0.012 
 30011 56724.840768 g 15.169 0.010 
 30011 56724.860922 g 15.266 0.010 
 30011 56724.861365 g 15.264 0.011 
 30011 56724.883814 g 15.326 0.011 
 30011 56724.884254 g 15.302 0.011 
 30011 56725.827082 g 15.054 0.011 
 30011 56725.827515 g 15.063 0.010 
 30011 56725.847325 g 15.141 0.011 
 30011 56725.847757 g 15.156 0.010 
 30011 56725.877691 g 15.250 0.012 
 30011 56725.878141 g 15.250 0.013 
 30011 56726.812985 g 14.991 0.012 
 30011 56726.813433 g 14.986 0.012 
 30011 56726.822069 g 15.013 0.011 
 30011 56726.822504 g 15.005 0.010 
 30011 56726.842416 g 15.074 0.010 
 30011 56726.842855 g 15.076 0.010 
 30011 56726.862556 g 15.153 0.012 
 30011 56726.862992 g 15.152 0.010 
 30011 56726.882952 g 15.232 0.010 
 30011 56726.883409 g 15.246 0.011 
 30011 56726.903067 g 15.301 0.012 
 30011 56726.903508 g 15.293 0.013 
 30011 56451.717357 r 15.108 0.011 
 30011 56451.718102 r 15.080 0.011 
 30011 56451.718635 r 15.116 0.011 
 30011 56452.495761 r 14.875 0.011 
 30011 56452.496463 r 14.884 0.011 
 30011 56452.496898 r 14.882 0.012 
 30011 56452.502189 r 14.878 0.011 
 30011 56452.609624 r 15.109 0.012 
 30011 56452.610313 r 15.121 0.013 
 30011 56452.610753 r 15.150 0.013 
 30011 56452.697765 r 15.172 0.012 
 30011 56452.698514 r 15.172 0.013 
 30011 56452.699052 r 15.185 0.013 
 30011 56452.751003 r 14.964 0.011 
 30011 56452.751804 r 14.977 0.013 
 30011 56452.752352 r 14.963 0.012 
 30011 56453.465704 r 15.035 0.012 
 30011 56453.476666 r 14.834 0.011 
 30011 56453.477356 r 14.791 0.017 
 30011 56453.567081 r 14.975 0.010 
 30011 56453.567781 r 14.975 0.011 
 30011 56453.568211 r 14.963 0.012 
 30011 56453.574528 r 14.997 0.013 
 30011 56453.575206 r 14.985 0.011 
 30011 56453.575657 r 14.996 0.012 
 30011 56453.677469 r 15.183 0.012 
 30011 56453.678173 r 15.190 0.013 
 30011 56453.678605 r 15.159 0.014 
 30011 56453.747565 r 15.065 0.010 
 30011 56453.748378 r 15.070 0.011 
 30011 56453.748937 r 15.027 0.012 
 30011 56465.454568 r 15.190 0.011 
 30011 56465.455249 r 15.193 0.011 
 30011 56465.455691 r 15.192 0.011 
 30011 56465.462665 r 15.207 0.010 
 30011 56465.463356 r 15.193 0.012 
 30011 56465.463783 r 15.212 0.010 
 30011 56467.462713 r 15.203 0.011 
 30011 56467.463393 r 15.199 0.011 
 30011 56467.463847 r 15.193 0.011 
 30011 56724.814885 r 14.951 0.011 
 30011 56724.815323 r 14.962 0.011 
 30011 56724.837694 r 15.034 0.010 
 30011 56724.838133 r 15.031 0.011 
 30011 56724.858302 r 15.101 0.010 
 30011 56724.858738 r 15.100 0.010 
 30011 56724.881196 r 15.144 0.010 
 30011 56724.881636 r 15.176 0.010 
 30011 56725.824447 r 14.960 0.012 
 30011 56725.824889 r 14.976 0.014 
 30011 56725.844726 r 15.044 0.013 
 30011 56725.845162 r 15.018 0.010 
 30011 56725.875055 r 15.089 0.011 
 30011 56725.875495 r 15.083 0.012 
 30011 56726.810271 r 14.911 0.011 
 30011 56726.810697 r 14.910 0.013 
 30011 56726.819387 r 14.929 0.012 
 30011 56726.819819 r 14.927 0.013 
 30011 56726.839819 r 14.978 0.011 
 30011 56726.840245 r 14.973 0.014 
 30011 56726.859958 r 15.021 0.012 
 30011 56726.860383 r 15.025 0.011 
 30011 56726.880322 r 15.076 0.013 
 30011 56726.880764 r 15.066 0.011 
 30011 56726.900425 r 15.123 0.011 
 30011 56726.900873 r 15.118 0.011 
 30011 56451.719126 i 15.107 0.012 
 30011 56451.719677 i 15.122 0.010 
 30011 56452.497345 i 14.946 0.012 
 30011 56452.497785 i 14.943 0.013 
 30011 56452.611183 i 15.182 0.015 
 30011 56452.611621 i 15.124 0.016 
 30011 56452.699593 i 15.177 0.016 
 30011 56452.700079 i 15.187 0.013 
 30011 56452.752902 i 15.010 0.011 
 30011 56452.753449 i 15.013 0.012 
 30011 56453.466139 i 14.992 0.011 
 30011 56453.466599 i 14.970 0.012 
 30011 56453.472711 i 14.941 0.031 
 30011 56453.473140 i 15.034 0.024 
 30011 56453.478647 i 15.034 0.011 
 30011 56453.568639 i 15.026 0.012 
 30011 56453.569078 i 15.144 0.013 
 30011 56453.576087 i 15.039 0.014 
 30011 56453.576522 i 15.037 0.015 
 30011 56453.679063 i 15.184 0.011 
 30011 56453.679504 i 15.134 0.013 
 30011 56453.749491 i 15.094 0.013 
 30011 56465.456542 i 15.205 0.012 
 30011 56465.464214 i 15.200 0.011 
 30011 56465.464655 i 15.212 0.011 
