Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 20680 56452.703502 u 16.075 0.012 
 20680 56452.756113 u 16.114 0.012 
 20680 56453.481520 u 14.697 0.010 
 20680 56453.571283 u 15.458 0.011 
 20680 56453.571960 u 15.471 0.011 
 20680 56453.578740 u 15.486 0.011 
 20680 56453.579412 u 15.502 0.011 
 20680 56453.681792 u 16.008 0.012 
 20680 56453.682464 u 16.029 0.012 
 20680 56467.466971 u 15.709 0.011 
 20680 56467.467647 u 15.689 0.012 
 20680 56724.841213 u 15.859 0.010 
 20680 56724.841881 u 15.929 0.012 
 20680 56724.884692 u 16.119 0.013 
 20680 56724.885357 u 16.058 0.011 
 20680 56725.827970 u 15.907 0.010 
 20680 56725.828639 u 15.911 0.010 
 20680 56725.848211 u 16.042 0.010 
 20680 56725.848901 u 15.971 0.011 
 20680 56725.879254 u 16.141 0.010 
 20680 56726.814544 u 15.840 0.010 
 20680 56726.822954 u 15.999 0.013 
 20680 56726.823632 u 15.937 0.011 
 20680 56726.863423 u 16.081 0.043 
 20680 56726.864099 u 16.111 0.010 
 20680 56726.883851 u 16.183 0.030 
 20680 56726.884562 u 16.179 0.010 
 20680 56726.903935 u 16.204 0.012 
 20680 56726.904600 u 16.261 0.014 
 20680 56451.721220 g 15.486 0.011 
 20680 56451.721773 g 15.485 0.011 
 20680 56452.499102 g 14.379 0.012 
 20680 56452.499554 g 14.381 0.011 
 20680 56452.612929 g 15.106 0.011 
 20680 56452.613357 g 15.112 0.010 
 20680 56452.701691 g 15.427 0.011 
 20680 56452.702231 g 15.464 0.011 
 20680 56452.755016 g 15.602 0.010 
 20680 56452.755566 g 15.564 0.010 
 20680 56453.467899 g 14.309 0.010 
 20680 56453.479965 g 14.455 0.010 
 20680 56453.480388 g 14.325 0.010 
 20680 56453.570419 g 14.948 0.010 
 20680 56453.570859 g 14.935 0.010 
 20680 56453.577840 g 14.973 0.010 
 20680 56453.578284 g 14.971 0.011 
 20680 56453.680803 g 15.255 0.011 
 20680 56465.458279 g 15.030 0.010 
 20680 56465.465990 g 15.063 0.010 
 20680 56465.466423 g 15.072 0.010 
 20680 56467.466080 g 15.163 0.011 
 20680 56467.466518 g 15.164 0.011 
 20680 56724.817498 g 15.227 0.010 
 20680 56724.817962 g 15.227 0.010 
 20680 56724.840334 g 15.320 0.011 
 20680 56724.840768 g 15.332 0.011 
 20680 56724.860922 g 15.404 0.010 
 20680 56724.861365 g 15.397 0.010 
 20680 56724.883814 g 15.482 0.010 
 20680 56725.827082 g 15.302 0.011 
 20680 56725.827515 g 15.312 0.011 
 20680 56725.847325 g 15.375 0.010 
 20680 56725.847757 g 15.382 0.010 
 20680 56725.877691 g 15.493 0.011 
 20680 56725.878141 g 15.494 0.010 
 20680 56726.812985 g 15.293 0.011 
 20680 56726.813433 g 15.302 0.010 
 20680 56726.822069 g 15.330 0.011 
 20680 56726.822504 g 15.327 0.011 
 20680 56726.842416 g 15.413 0.011 
 20680 56726.842855 g 15.417 0.012 
 20680 56726.862556 g 15.476 0.011 
 20680 56726.862992 g 15.494 0.011 
 20680 56726.882952 g 15.545 0.010 
 20680 56726.883409 g 15.537 0.011 
 20680 56726.903067 g 15.559 0.011 
 20680 56726.903508 g 15.566 0.010 
 20680 56451.717357 r 15.190 0.010 
 20680 56451.718102 r 15.201 0.010 
 20680 56451.718635 r 15.208 0.011 
 20680 56452.495761 r 14.454 0.010 
 20680 56452.496463 r 14.452 0.010 
 20680 56452.496898 r 14.480 0.012 
 20680 56452.502189 r 14.480 0.010 
 20680 56452.609624 r 14.942 0.011 
 20680 56452.610313 r 14.931 0.012 
 20680 56452.610753 r 14.944 0.012 
 20680 56452.697765 r 15.170 0.011 
