Mag,Phase,band
17.81659072215675,0.0,g
17.81831767447033,0.001,g
17.820053916544854,0.002,g
17.821801392586345,0.003,g
17.823561972145647,0.004,g
17.8253374331283,0.005,g
17.82712944539408,0.006,g
17.828939555089732,0.007,g
17.83076916985266,0.008,g
17.832619545017014,0.009000000000000001,g
17.83449177094587,0.01,g
17.836386761604288,0.011,g
17.83830524447861,0.012,g
17.840247751936406,0.013000000000000001,g
17.842214614110162,0.014,g
17.844205953375663,0.015,g
17.8462216804828,0.016,g
17.848261492383873,0.017,g
17.8503248717898,0.018000000000000002,g
17.85241108847141,0.019,g
17.85451920230793,0.02,g
17.856648068071124,0.021,g
17.85879634191864,0.022,g
17.860962489556407,0.023,g
17.86314479601574,0.024,g
17.865341376977607,0.025,g
17.867550191563325,0.026000000000000002,g
17.869769056498612,0.027,g
17.871995661546553,0.028,g
17.87422758609371,0.029,g
17.87646231676424,0.03,g
17.878697265927475,0.031,g
17.880929790956735,0.032,g
17.883157214090634,0.033,g
17.88537684274188,0.034,g
17.887585990095072,0.035,g
17.889781995831353,0.036000000000000004,g
17.891962246816213,0.037,g
17.89412419758617,0.038,g
17.896265390471267,0.039,g
17.898383475191938,0.04,g
17.900476227772856,0.041,g
17.902541568620702,0.042,g
17.904577579619144,0.043000000000000003,g
17.906582520101185,0.044,g
17.908554841567693,0.045,g
17.910493201030047,0.046,g
17.91239647286548,0.047,g
17.91426375908482,0.048,g
17.916094397924745,0.049,g
17.91788797068911,0.05,g
17.919644306778096,0.051000000000000004,g
17.921363486857132,0.052000000000000005,g
17.92304584413281,0.053,g
17.924691963717173,0.054,g
17.926302680076837,0.055,g
17.927879072578673,0.056,g
17.92942245915817,0.057,g
17.93093438815186,0.058,g
17.932416628349277,0.059000000000000004,g
17.933871157334178,0.06,g
17.935300148198113,0.061,g
17.936705954722417,0.062,g
17.93809109513686,0.063,g
17.93945823457434,0.064,g
17.94081016635173,0.065,g
17.94214979221599,0.066,g
17.943480101703273,0.067,g
17.94480415076588,0.068,g
17.946125039827642,0.069,g
17.947445891433507,0.07,g
17.948769827661952,0.07100000000000001,g
17.950099947471497,0.07200000000000001,g
17.951439304153066,0.073,g
17.95279088305946,0.074,g
17.954157579781338,0.075,g
17.955542178935946,0.076,g
17.956947333730184,0.077,g
17.958375546454032,0.078,g
17.959829150053174,0.079,g
17.96131029092174,0.08,g
17.962820913046585,0.081,g
17.964362743624626,0.082,g
17.965937280263145,0.083,g
17.967545779861258,0.084,g
17.969189249257745,0.085,g
17.97086843771705,0.08600000000000001,g
17.97258383131104,0.08700000000000001,g
17.974335649240032,0.088,g
17.976123842121314,0.089,g
17.97794809225869,0.09,g
17.97980781589129,0.091,g
17.98170216740489,0.092,g
17.983630045473884,0.093,g
17.98559010108742,0.094,g
17.98758074739881,0.095,g
17.989600171323495,0.096,g
17.99164634679749,0.097,g
17.99371704959555,0.098,g
17.995809873596727,0.099,g
17.997922248373694,0.1,g
18.00005145797249,0.101,g
18.00219466074016,0.10200000000000001,g
18.00434891005011,0.10300000000000001,g
18.006511175768043,0.10400000000000001,g
18.008678366296078,0.105,g
18.010847351028296,0.106,g
18.01301498304793,0.107,g
18.01517812189492,0.108,g
18.01733365623206,0.109,g
18.019478526239023,0.11,g
18.021609745565733,0.111,g
18.023724422680242,0.112,g
18.02581978145082,0.113,g
18.027893180808466,0.114,g
18.02994213334256,0.115,g
18.031964322691394,0.116,g
18.033957619598098,0.117,g
18.03592009651309,0.11800000000000001,g
18.03785004063545,0.11900000000000001,g
18.039745965297193,0.12,g
18.04160661960771,0.121,g
18.043430996288517,0.122,g
18.045218337642567,0.123,g
18.046968139616304,0.124,g
18.04868015392761,0.125,g
18.050354388246983,0.126,g
18.05199110443447,0.127,g
18.053590814849315,0.128,g
18.05515427676398,0.129,g
18.056682484928533,0.13,g
18.058176662345122,0.131,g
18.05963824932587,0.132,g
18.06106889092032,0.133,g
18.062470422810705,0.134,g
18.0638448557847,0.135,g
18.065194358906048,0.136,g
18.066521241512774,0.137,g
18.067827934181565,0.138,g
18.069116968804344,0.139,g
18.070390957929575,0.14,g
18.07165257352602,0.14100000000000001,g
18.072904525330756,0.14200000000000002,g
18.074149538946227,0.14300000000000002,g
18.075390333852617,0.14400000000000002,g
18.0766296015021,0.145,g
18.07786998366079,0.146,g
18.07911405116204,0.147,g
18.08036428323109,0.148,g
18.08162304753707,0.149,g
18.08289258112201,0.15,g
18.084174972350116,0.151,g
18.085472144012513,0.152,g
18.086785837713908,0.153,g
18.0881175996575,0.154,g
18.089468767934314,0.155,g
18.090840461411275,0.156,g
18.092233570300547,0.157,g
18.0936487484796,0.158,g
18.095086407619007,0.159,g
18.09654671316042,0.16,g
18.09802958217431,0.161,g
18.099534683112243,0.162,g
18.101061437454902,0.163,g
18.102609023242607,0.164,g
18.104176380461237,0.165,g
18.10576221824287,0.166,g
