Mag,Phase,band
18.677640247385515,0.0,g
18.678944012908797,0.001,g
18.68019763755251,0.002,g
18.681400503170803,0.003,g
18.682552140846056,0.004,g
18.683652228343334,0.005,g
18.684700586203622,0.006,g
18.685697172462213,0.007,g
18.686642075987095,0.008,g
18.687535508440863,0.009000000000000001,g
18.688377794879113,0.01,g
18.689169363006986,0.011,g
18.689910731124815,0.012,g
18.6906024948029,0.013000000000000001,g
18.691245312334598,0.014,g
18.691839889025598,0.015,g
18.692386960386294,0.016,g
18.69288727430238,0.017,g
18.693341572267265,0.018000000000000002,g
18.69375056976766,0.019,g
18.694114935921174,0.02,g
18.69443527247195,0.021,g
18.694712092256808,0.022,g
18.694945797260413,0.023,g
18.695136656383774,0.024,g
18.695284783054543,0.025,g
18.695390112812735,0.026000000000000002,g
18.69545238100814,0.027,g
18.69547110074911,0.028,g
18.69544554124427,0.029,g
18.695374706679893,0.03,g
18.695257315776583,0.031,g
18.69509178216812,0.032,g
18.694876195744847,0.033,g
18.694608305101593,0.034,g
18.694285501227814,0.035,g
18.693904802573833,0.036000000000000004,g
18.693462841622953,0.037,g
18.692955853094137,0.038,g
18.692379663893856,0.039,g
18.69172968492939,0.04,g
18.691000904888206,0.041,g
18.690187886080285,0.042,g
18.689284762431363,0.043000000000000003,g
18.68828523970562,0.044,g
18.687182598026826,0.045,g
18.68596969675593,0.046,g
18.684638981772608,0.047,g
18.683182495196526,0.048,g
18.681591887572527,0.049,g
18.679858432531603,0.05,g
18.677973043927388,0.051000000000000004,g
18.67592629543504,0.052000000000000005,g
18.673708442586847,0.053,g
18.671309447205893,0.054,g
18.668719004186453,0.055,g
18.665926570556856,0.056,g
18.662921396747983,0.057,g
18.659692559978,0.058,g
18.656228999651834,0.059000000000000004,g
18.652519554661833,0.06,g
18.648553002464727,0.061,g
18.644318099798628,0.062,g
18.639803624893744,0.063,g
18.634998421019883,0.064,g
18.62989144120505,0.065,g
18.624471793950274,0.066,g
18.618728789758293,0.067,g
18.61265198828628,0.068,g
18.60623124592648,0.069,g
18.59945676361339,0.07,g
18.59231913465152,0.07100000000000001,g
18.584809392353687,0.07200000000000001,g
18.576919057278115,0.073,g
18.56864018384999,0.074,g
18.559965406153093,0.075,g
18.55088798267739,0.076,g
18.541401839809662,0.077,g
18.531501613857127,0.078,g
18.521182691397062,0.079,g
18.510441247750336,0.08,g
18.499274283381983,0.081,g
18.48767965803872,0.082,g
18.475656122440707,0.083,g
18.463203347353218,0.084,g
18.450321949873505,0.085,g
18.43701351677804,0.08600000000000001,g
18.42328062478679,0.08700000000000001,g
18.409126857612524,0.088,g
18.39455681967636,0.089,g
18.3795761463834,0.09,g
18.364191510866753,0.091,g
18.348410627122288,0.092,g
18.332242249471545,0.093,g
18.31569616830573,0.094,g
18.298783202079154,0.095,g
18.2815151855368,0.096,g
18.263904954176567,0.097,g
18.245966324963387,0.098,g
18.227714073328585,0.099,g
18.20916390650427,0.1,g
18.190332433258806,0.101,g
18.171237130115514,0.10200000000000001,g
18.151896304152476,0.10300000000000001,g
18.132329052496786,0.10400000000000001,g
18.112555218641784,0.105,g
18.09259534573018,0.106,g
18.072470626960065,0.107,g
18.05220285328427,0.108,g
18.031814358586008,0.109,g
18.01132796252584,0.11,g
17.99076691126602,0.111,g
17.9701548162885,0.112,g
17.94951559153213,0.113,g
17.928873389083087,0.114,g
17.908252533659553,0.115,g
17.88767745613824,0.116,g
17.867172626375226,0.117,g
17.84676248557793,0.11800000000000001,g
17.826471378487366,0.11900000000000001,g
17.806323485632394,0.12,g
17.786342755917353,0.121,g
17.766552839804575,0.122,g
17.746977023350993,0.123,g
17.72763816335532,0.124,g
17.70855862386822,0.125,g
17.68976021431233,0.126,g
17.671264129452975,0.127,g
17.653090891452674,0.128,g
17.63526029423411,0.129,g
17.61779135036665,0.13,g
17.600702240680977,0.131,g
17.584010266805016,0.132,g
17.567731806801746,0.133,g
17.551882274076757,0.134,g
17.536476079709075,0.135,g
17.521526598344373,0.136,g
17.50704613777466,0.137,g
17.493045912312283,0.138,g
17.47953602005031,0.139,g
17.466525424084455,0.14,g
17.454021937754746,0.14100000000000001,g
17.442032213948096,0.14200000000000002,g
17.43056173848529,0.14300000000000002,g
17.41961482759872,0.14400000000000002,g
17.409194629489562,0.145,g
17.39930312993592,0.146,g
17.389941161905966,0.147,g
17.3811084191136,0.148,g
17.372803473437067,0.149,g
17.365023796105227,0.15,g
17.35776578253995,0.151,g
17.35102478072858,0.152,g
17.34479512298515,0.153,g
17.339070160945813,0.154,g
17.333842303630494,0.155,g
17.329103058390643,0.156,g
17.32484307455165,0.157,g
17.321052189547753,0.158,g
17.31771947733808,0.159,g
17.314833298883975,0.16,g
17.312381354459895,0.161,g
17.310350737564605,0.162,g
17.308727990193347,0.163,g
17.30749915922818,0.164,g
17.30664985370043,0.165,g
17.306165302677467,0.166,g
17.306030413525413,0.167,g
17.306229830299863,0.168,g
17.306747992018458,0.169,g
17.307569190571844,0.17,g
17.30867762803359,0.171,g
17.310057473134503,0.17200000000000001,g
17.31169291667314,0.17300000000000001,g
17.313568225641013,0.17400000000000002,g
17.31566779584961,0.17500000000000002,g
17.31797620285479,0.176,g
17.320478250984625,0.177,g
17.323159020287147,0.178,g
17.326003911226202,0.179,g
17.32899868696586,0.18,g
17.332129513096742,0.181,g
17.335382994671214,0.182,g
17.338746210428415,0.183,g
17.342206744104683,0.184,g
17.345752712739614,0.185,g
17.349372791903424,0.186,g
17.353056237786525,0.187,g
17.356792906107817,0.188,g
17.36057326781384,0.189,g
17.364388421556498,0.19,g
17.368230102952523,0.191,g
17.372090690643414,0.192,g
17.37596320918936,0.193,g
17.37984132884586,0.194,g
17.38371936228573,0.195,g
17.387592258343446,0.196,g
17.3914555928722,0.197,g
17.39530555681668,0.198,g
17.399138941617018,0.199,g
17.40295312207064,0.2,g
17.40674603678989,0.201,g
17.41051616640264,0.202,g
17.4142625096528,0.203,g
17.417984557565514,0.20400000000000001,g
17.421682265849203,0.20500000000000002,g
17.425356025712986,0.20600000000000002,g
17.42900663328343,0.20700000000000002,g
17.432635257808805,0.20800000000000002,g
17.436243408842547,0.209,g
17.439832902599917,0.21,g
17.4434058276832,0.211,g
17.446964510371057,0.212,g
17.45051147966704,0.213,g
17.454049432300483,0.214,g
17.45758119787036,0.215,g
17.461109704319135,0.216,g
17.46463794391884,0.217,g
17.468168939946484,0.218,g
17.471705714219198,0.219,g
17.475251255652754,0.22,g
17.478808489998745,0.221,g
17.482380250907482,0.222,g
17.48596925245397,0.223,g
17.489578063254562,0.224,g
17.493209082291383,0.225,g
17.49686451655039,0.226,g
17.500546360567714,0.227,g
17.504256377966907,0.228,g
17.50799608505767,0.229,g
17.511766736554122,0.23,g
17.515569313458297,0.231,g
17.519404513141577,0.232,g
17.523272741644455,0.233,g
17.527174108201923,0.234,g
17.531108421989536,0.23500000000000001,g
17.535075191072544,0.23600000000000002,g
17.539073623528513,0.23700000000000002,g
17.54310263070176,0.23800000000000002,g
17.547160832536562,0.23900000000000002,g
17.551246564924927,0.24,g
17.555357888993964,0.241,g
17.559492602248017,0.242,g
17.563648251470937,0.243,g
17.567822147285078,0.244,g
17.572011380255397,0.245,g
17.576212838419313,0.246,g
17.580423226116416,0.247,g
17.584639083985845,0.248,g
17.58885680999416,0.249,g
17.593072681351885,0.25,g
17.59728287717353,0.251,g
17.601483501732957,0.252,g
17.60567060816445,0.253,g
17.60984022245822,0.254,g
17.613988367599738,0.255,g
17.618111087702214,0.256,g
17.622204471983633,0.257,g
17.626264678441874,0.258,g
17.630287957084665,0.259,g
17.634270672575088,0.26,g
17.638209326158123,0.261,g
17.64210057673905,0.262,g
17.645941260990732,0.263,g
17.649728412373502,0.264,g
17.65345927895885,0.265,g
17.657131339955864,0.266,g
17.660742320848023,0.267,g
17.66429020705662,0.268,g
17.6677732560566,0.269,g
17.671190007879968,0.27,g
17.674539293952197,0.271,g
17.677820244216957,0.272,g
17.68103229251486,0.273,g
17.68417518019274,0.274,g
17.687248957929707,0.275,g
17.690253985777776,0.276,g
17.69319093142429,0.277,g
17.696060766694483,0.278,g
17.69886476232221,0.279,g
17.70160448102684,0.28,g
17.70428176894428,0.281,g
17.70689874546872,0.28200000000000003,g
17.70945779157131,0.28300000000000003,g
17.71196153666989,0.28400000000000003,g
17.714412844132077,0.28500000000000003,g
17.716814795501485,0.28600000000000003,g
17.719170673543516,0.28700000000000003,g
17.721483944213766,0.28800000000000003,g
17.723758237657368,0.289,g
17.725997328352864,0.29,g
17.728205114518314,0.291,g
17.730385596901,0.292,g
17.732542857075096,0.293,g
17.73468103537343,0.294,g
17.73680430858145,0.295,g
17.738916867521585,0.296,g
17.741022894656542,0.297,g
17.743126541838983,0.298,g
17.74523190833377,0.299,g
17.747343019236375,0.3,g
17.749463804408386,0.301,g
17.75159807804732,0.302,g
17.75374951900362,0.303,g
17.755921651952903,0.304,g
17.75811782952597,0.305,g
17.760341215493142,0.306,g
17.76259476909284,0.307,g
17.764881230587264,0.308,g
17.767203108120693,0.309,g
17.76956266594793,0.31,g
17.771961914092298,0.311,g
17.774402599483967,0.312,g
17.776886198620932,0.313,g
17.779413911785582,0.314,g
17.781986658841294,0.315,g
17.78460507662372,0.316,g
17.78726951793277,0.317,g
17.789980052121795,0.318,g
17.79273646727145,0.319,g
17.795538273926745,0.32,g
17.798384710367134,0.321,g
17.801274749370425,0.322,g
17.804207106423707,0.323,g
17.807180249325736,0.324,g
17.81019240911814,0.325,g
17.813241592275258,0.326,g
17.81632559407573,0.327,g
17.819442013072667,0.328,g
17.822588266573238,0.329,g
17.825761607033584,0.33,g
17.82895913926987,0.331,g
17.832177838382464,0.332,g
17.835414568286602,0.333,g
17.83866610074008,0.334,g
17.84192913475632,0.335,g
17.84520031628942,0.336,g
17.848476258077223,0.337,g
17.851753559527708,0.338,g
17.855028826534927,0.339,g
17.85829869111134,0.34,g
17.86155983072537,0.341,g
17.864808987235183,0.342,g
17.868042985312687,0.343,g
17.87125875025531,0.34400000000000003,g
17.8744533250871,0.34500000000000003,g
17.877623886855513,0.34600000000000003,g
17.880767762035223,0.34700000000000003,g
17.883882440956032,0.34800000000000003,g
17.88696559117808,0.34900000000000003,g
17.890015069743882,0.35000000000000003,g
17.893028934243763,0.35100000000000003,g
17.896005452638335,0.352,g
17.898943111789198,0.353,g
17.901840624656725,0.354,g
17.904696936131646,0.355,g
17.90751122747544,0.356,g
17.910282919352266,0.357,g
17.913011673443982,0.358,g
17.915697392647363,0.359,g
17.91834021986134,0.36,g
17.920940535379877,0.361,g
17.923498952914255,0.362,g
17.926016314276,0.363,g
17.928493682759722,0.364,g
17.930932335271926,0.365,g
17.933333753259276,0.366,g
17.93569961249607,0.367,g
17.938031771797206,0.368,g
17.94033226072865,0.369,g
17.942603266392812,0.37,g
17.944847119371197,0.371,g
17.94706627891108,0.372,g
17.949263317446935,0.373,g
17.951440904550484,0.374,g
17.95360179040641,0.375,g
17.95574878891244,0.376,g
17.957884760504758,0.377,g
17.960012594810173,0.378,g
17.96213519322742,0.379,g
17.96425545153928,0.38,g
17.966376242657013,0.381,g
17.968500399596945,0.382,g
17.97063069878706,0.383,g
17.97276984379949,0.384,g
17.974920449601157,0.385,g
17.977085027411725,0.386,g
17.979265970254037,0.387,g
17.981465539277306,0.388,g
17.983685850928904,0.389,g
17.985928865044894,0.39,g
17.988196373923813,0.391,g
17.99048999244227,0.392,g
17.992811149264295,0.393,g
17.995161079189927,0.394,g
17.99754081668159,0.395,g
17.99995119059961,0.396,g
18.002392820171227,0.397,g
18.00486611220989,0.398,g
18.00737125959446,0.399,g
18.009908241010375,0.4,g
18.012476821947416,0.401,g
18.015076556941757,0.402,g
18.01770679304221,0.403,g
18.020366674473962,0.404,g
18.023055148466202,0.405,g
18.025770972203077,0.406,g
18.028512720851566,0.40700000000000003,g
18.0312787966133,0.40800000000000003,g
18.034067438741967,0.40900000000000003,g
18.03687673446258,0.41000000000000003,g
18.03970463072363,0.41100000000000003,g
18.042548946709147,0.41200000000000003,g
18.045407387033023,0.41300000000000003,g
18.04827755553494,0.41400000000000003,g
18.05115696959362,0.41500000000000004,g
18.054043074870915,0.41600000000000004,g
18.056933260397976,0.417,g
18.05982487391318,0.418,g
18.062715237360607,0.419,g
18.065601662457336,0.42,g
18.068481466237817,0.421,g
18.07135198648424,0.422,g
18.074210596953133,0.423,g
18.07705472230972,0.424,g
18.079881852684146,0.425,g
18.08268955776596,0.426,g
18.08547550035672,0.427,g
18.088237449304064,0.428,g
18.090973291744476,0.429,g
18.09368104458673,0.43,g
18.09635886517256,0.431,g
18.09900506105639,0.432,g
18.10161809885144,0.433,g
18.10419661209539,0.434,g
18.10673940809457,0.435,g
18.10924547371215,0.436,g
18.111713980072146,0.437,g
18.11414428615745,0.438,g
18.11653594128702,0.439,g
18.11888868646384,0.44,g
18.121202454592105,0.441,g
18.123477369568757,0.442,g
18.12571374426113,0.443,g
18.127912077389112,0.444,g
18.130073049336406,0.445,g
18.132197516921938,0.446,g
18.134286507168383,0.447,g
18.13634121011052,0.448,g
18.138362970691684,0.449,g
18.14035327980159,0.45,g
18.142313764514128,0.451,g
18.144246177587355,0.452,g
18.146152386292993,0.453,g
18.148034360645507,0.454,g
18.149894161104722,0.455,g
18.151733925828307,0.456,g
18.153555857553,0.457,g
18.155362210185125,0.458,g
18.157155275182404,0.459,g
18.158937367809816,0.46,g
18.160710813352704,0.461,g
18.16247793337014,0.462,g
18.16424103207083,0.463,g
18.166002382892902,0.464,g
18.167764215367065,0.465,g
18.169528702340838,0.466,g
18.171297947638642,0.467,g
18.173073974229993,0.468,g
18.1748587129742,0.46900000000000003,g
18.176653992006656,0.47000000000000003,g
18.178461526827117,0.47100000000000003,g
18.18028291114638,0.47200000000000003,g
18.182119608542497,0.47300000000000003,g
18.18397294497284,0.47400000000000003,g
18.18584410218281,0.47500000000000003,g
18.187734112046428,0.47600000000000003,g
18.189643851868226,0.47700000000000004,g
18.191574040669888,0.47800000000000004,g
18.193525236479235,0.47900000000000004,g
18.19549783463254,0.48,g
18.197492067095528,0.481,g
18.19950800280172,0.482,g
18.201545549001008,0.483,g
18.203604453604882,0.484,g
18.20568430850904,0.485,g
18.207784553867945,0.486,g
18.20990448329059,0.487,g
18.212043249920683,0.488,g
18.214199873359846,0.489,g
18.21637324738698,0.49,g
18.218562148422325,0.491,g
18.2207652446807,0.492,g
18.222981105953988,0.493,g
18.225208213959533,0.494,g
18.227444973187882,0.495,g
18.229689722180296,0.496,g
18.23194074516436,0.497,g
18.2341962839736,0.498,g
18.236454550176166,0.499,g
18.238713737335853,0.5,g
18.240972033328756,0.501,g
18.24322763263836,0.502,g
18.24547874855254,0.503,g
18.247723625186325,0.504,g
18.249960549256087,0.505,g
18.252187861532054,0.506,g
18.254403967898565,0.507,g
18.256607349953867,0.508,g
18.258796575084258,0.509,g
18.260970305950902,0.51,g
18.263127309331235,0.511,g
18.26526646426104,0.512,g
18.267386769427592,0.513,g
18.269487349769225,0.514,g
18.271567462241197,0.515,g
18.273626500713405,0.516,g
18.27566399997051,0.517,g
18.27767963879083,0.518,g
18.279673242085913,0.519,g
18.281644782088552,0.52,g
18.28359437858289,0.521,g
18.28552229817607,0.522,g
18.287428952616718,0.523,g
18.289314896171774,0.524,g
18.291180822078093,0.525,g
18.29302755809203,0.526,g
18.294856061164595,0.527,g
18.296667411275912,0.528,g
18.298462804467455,0.529,g
18.300243545115315,0.53,g
18.30201103749278,0.531,g
18.303766776674223,0.532,g
18.305512338836856,0.533,g
18.307249371020088,0.534,g
18.30897958040583,0.535,g
18.3107047231857,0.536,g
18.312426593083764,0.537,g
18.314147009605417,0.538,g
18.315867806084643,0.539,g
18.317590817603165,0.54,g
18.319317868855535,0.541,g
18.32105076203489,0.542,g
18.322791264813553,0.543,g
18.324541098492254,0.544,g
18.326301926390766,0.545,g
18.328075342551113,0.546,g
18.329862860822715,0.547,g
18.331665904396402,0.548,g
18.33348579585167,0.549,g
18.33532374777818,0.55,g
18.33718085402937,0.551,g
18.339058081661804,0.552,g
18.340956263610163,0.553,g
18.342876092143,0.554,g
18.34481811313984,0.555,g
18.346782721225253,0.556,g
18.348770155790255,0.557,g
18.350780497926156,0.558,g
18.352813668290434,0.559,g
18.35486942591862,0.56,g
18.35694736799044,0.561,g
18.35904693055277,0.562,g
18.36116739019633,0.5630000000000001,g
18.36330786667693,0.5640000000000001,g
18.365467326466995,0.5650000000000001,g
18.367644587216883,0.5660000000000001,g
18.369838323100637,0.5670000000000001,g
18.372047071015086,0.5680000000000001,g
18.37426923759623,0.5690000000000001,g
18.376503107012127,0.5700000000000001,g
18.378746849486657,0.5710000000000001,g
18.38099853050399,0.5720000000000001,g
18.383256120640194,0.5730000000000001,g
18.385517505963772,0.5740000000000001,g
18.3877804989443,0.5750000000000001,g
18.390042849804825,0.5760000000000001,g
18.39230225825125,0.577,g
18.39455638550972,0.578,g
18.396802866600975,0.579,g
18.39903932277958,0.58,g
18.401263374064637,0.581,g
18.40347265178831,0.582,g
18.405664811088275,0.583,g
18.407837543270556,0.584,g
18.409988587970172,0.585,g
18.41211574503797,0.586,g
18.414216886084027,0.587,g
18.416289965609717,0.588,g
18.418333031663323,0.589,g
18.420344235956748,0.59,g
18.422321843384292,0.591,g
18.42426424088785,0.592,g
18.426169945616987,0.593,g
18.428037612336535,0.594,g
18.429866040038792,0.595,g
18.43165417772237,0.596,g
18.43340112930437,0.597,g
18.435106157638298,0.598,g
18.436768687614894,0.599,g
18.438388308329007,0.6,g
18.439964774300964,0.601,g
18.44149800574668,0.602,g
18.44298808789635,0.603,g
18.444435269367283,0.604,g
18.445839959602147,0.605,g
18.447202725389303,0.606,g
18.44852428648763,0.607,g
18.449805510383325,0.608,g
18.451047406211526,0.609,g
18.452251117880444,0.61,g
18.45341791644055,0.611,g
18.454549191745745,0.612,g
18.455646443457656,0.613,g
18.456711271448242,0.614,g
18.45774536565911,0.615,g
18.458750495479638,0.616,g
18.459728498708266,0.617,g
18.460681270164336,0.618,g
18.461610750019304,0.619,g
18.46251891191839,0.62,g
18.46340775096425,0.621,g
18.464279271635746,0.622,g
18.465135475714455,0.623,g
18.46597835029207,0.624,g
18.46680985593093,0.625,g
18.467631915048877,0.626,g
18.46844640059867,0.627,g
18.469255125109566,0.628,g
18.470059830157286,0.629,g
18.470862176325173,0.63,g
18.471663733716746,0.631,g
18.47246597307649,0.632,g
18.47327025757144,0.633,g
18.47407783528288,0.634,g
18.47488983245239,0.635,g
18.475707247522116,0.636,g
18.476530946004488,0.637,g
18.47736165621108,0.638,g
18.4781999658654,0.639,g
18.479046319618856,0.64,g
18.479901017483478,0.641,g
18.48076421418972,0.642,g
18.481635919471497,0.643,g
18.482515999275407,0.644,g
18.483404177885063,0.645,g
18.484300040946163,0.646,g
18.48520303937198,0.647,g
18.48611249410406,0.648,g
18.4870276016972,0.649,g
18.487947440693077,0.65,g
18.488870978741588,0.651,g
18.489797080425106,0.652,g
18.49072451573552,0.653,g
18.491651969150784,0.654,g
18.49257804925352,0.655,g
18.493501298830914,0.656,g
18.49442020539226,0.657,g
18.495333212037753,0.658,g
18.496238728610052,0.659,g
18.497135143058316,0.66,g
18.498020832942856,0.661,g
18.49889417700804,0.662,g
18.49975356675008,0.663,g
18.500597417906754,0.664,g
18.501424181796214,0.665,g
18.502232356433023,0.666,g
18.50302049735091,0.667,g
18.50378722806319,0.668,g
18.504531250094374,0.669,g
18.505251352518687,0.67,g
18.50594642094433,0.671,g
18.506615445885632,0.672,g
18.507257530469058,0.673,g
18.50787189742279,0.674,g
18.50845789530437,0.675,g
18.50901500392509,0.676,g
18.50954283893501,0.677,g
18.51004115553766,0.678,g
18.5105098513085,0.679,g
18.510948968097132,0.68,g
18.511358692998552,0.681,g
18.511739358384702,0.682,g
18.51209144099334,0.683,g
18.512415560077077,0.684,g
18.512712474621228,0.685,g
18.512983079645107,0.686,g
18.513228401606945,0.687,g
18.513449592938382,0.6880000000000001,g
18.513647925739903,0.6890000000000001,g
18.513824784673922,0.6900000000000001,g
18.513981659097368,0.6910000000000001,g
18.51412013448044,0.6920000000000001,g
