Mag,Err,band,Phase
18.05620985136047,0.0086577190991623,g,0.0
18.05461591486964,0.0086577190991623,g,0.001
18.05302483640248,0.0086577190991623,g,0.002
18.05143668361972,0.0086577190991623,g,0.003
18.049851523962587,0.0086577190991623,g,0.004
18.048269424620496,0.0086577190991623,g,0.005
18.046690452533387,0.0086577190991623,g,0.006
18.045114674388383,0.0086577190991623,g,0.007
18.043542156616507,0.0086577190991623,g,0.008
18.04197296538933,0.0086577190991623,g,0.009
18.040407166615744,0.0086577190991623,g,0.01
18.0388448259387,0.0086577190991623,g,0.011
18.03728600873769,0.0086577190991623,g,0.012
18.03573078009725,0.0086577190991623,g,0.013
18.03417920486042,0.0086577190991623,g,0.014
18.03263134757467,0.0086577190991623,g,0.015
18.03108727248902,0.0086577190991623,g,0.016
18.0295470436015,0.0086577190991623,g,0.017
18.02801072460558,0.0086577190991623,g,0.018
18.026478378887305,0.0086577190991623,g,0.019
18.024950069578143,0.0086577190991623,g,0.02
18.02342585947403,0.0086577190991623,g,0.021
18.021905811093717,0.0086577190991623,g,0.022
18.02038998664812,0.0086577190991623,g,0.023
18.018878448043058,0.0086577190991623,g,0.024
18.017371256876444,0.0086577190991623,g,0.025
18.015868474435585,0.0086577190991623,g,0.026
18.014370161694412,0.0086577190991623,g,0.027
18.01287637931084,0.0086577190991623,g,0.028
18.01138718762411,0.0086577190991623,g,0.029
18.00990264665213,0.0086539008545279,g,0.03
18.008422816088977,0.0086539008545279,g,0.031
18.006947755302296,0.0086539008545279,g,0.032
18.00547752333611,0.0086539008545279,g,0.033
18.004012178881727,0.0086539008545279,g,0.034
18.002551780328613,0.0086539008545279,g,0.035
18.00109638571393,0.0086539008545279,g,0.036
17.99964605272566,0.0086539008545279,g,0.037
17.998200838726746,0.0086539008545279,g,0.038
17.996760800731572,0.0086539008545279,g,0.039
17.995325995408976,0.0086539008545279,g,0.04
17.993896479080075,0.0086539008545279,g,0.041
17.992472307716042,0.0086539008545279,g,0.042
17.991053536935947,0.0086539008545279,g,0.043
17.989640222004653,0.0086539008545279,g,0.044
17.988232417830705,0.0086500924850547,g,0.045
17.986830178964322,0.0086500924850547,g,0.046
17.98543355959534,0.0086500924850547,g,0.047
17.984042613551274,0.0086500924850547,g,0.048
17.98265739430037,0.0086500924850547,g,0.049
17.981277954924597,0.0086500924850547,g,0.05
17.979904348168038,0.0086500924850547,g,0.051
17.978536626389737,0.0086500924850547,g,0.052
17.977174841562253,0.0086500924850547,g,0.053
17.975819045319398,0.0086500924850547,g,0.054
17.97446928888521,0.0086500924850547,g,0.055
17.973125623121767,0.0086500924850547,g,0.056
17.97178809852723,0.0086462940037914,g,0.057
17.970456765190395,0.0086462940037914,g,0.058
17.969131672837907,0.0086462940037914,g,0.059
17.96781287080829,0.0086462940037914,g,0.06
17.96650040805538,0.0086462940037914,g,0.061
17.96519433314684,0.0086462940037914,g,0.062
17.963894694262688,0.0086462940037914,g,0.063
17.962601539193972,0.0086462940037914,g,0.064
17.96131491534137,0.0086462940037914,g,0.065
17.96003486971389,0.0086462940037914,g,0.066
17.95876144893218,0.0086462940037914,g,0.067
17.957494699204243,0.0086425054237761,g,0.068
17.956234666370353,0.0086425054237761,g,0.069
17.95498139586027,0.0086425054237761,g,0.07
17.95373493269247,0.0086425054237761,g,0.071
17.952495321518377,0.0086425054237761,g,0.072
17.95126260655781,0.0086425054237761,g,0.073
17.950036831647772,0.0086425054237761,g,0.074
17.948818040218818,0.0086425054237761,g,0.075
17.94760627529866,0.0086425054237761,g,0.076
17.946401579511182,0.0086425054237761,g,0.077
17.94520399507564,0.0086425054237761,g,0.078
17.944013563805754,0.0086387267580355,g,0.079
17.94283032710888,0.0086387267580355,g,0.08
17.94165432598529,0.0086387267580355,g,0.081
17.940485601027415,0.0086387267580355,g,0.082
17.939324192419107,0.0086387267580355,g,0.083
17.938170139934993,0.0086387267580355,g,0.084
17.937023482939836,0.0086387267580355,g,0.085
17.935884260387922,0.0086387267580355,g,0.086
17.934752510822523,0.0086387267580355,g,0.087
17.933628272379405,0.0086387267580355,g,0.088
17.932511582770047,0.0086387267580355,g,0.089
17.93140247930162,0.0086349580195852,g,0.09
17.930300998880387,0.0086349580195852,g,0.091
17.929207177975087,0.0086349580195852,g,0.092
17.928121052656888,0.0086349580195852,g,0.093
17.927042658578877,0.0086349580195852,g,0.094
17.925972030979857,0.0086349580195852,g,0.095
17.924909204684035,0.0086349580195852,g,0.096
17.923854214100835,0.0086349580195852,g,0.097
17.92280709322469,0.0086349580195852,g,0.098
17.92176787563488,0.0086349580195852,g,0.099
17.920736594495427,0.0086349580195852,g,0.1
17.91971328255871,0.0086349580195852,g,0.101
17.918697972146834,0.0086349580195852,g,0.102
17.917690695188732,0.0086311992214291,g,0.103
17.916691483186668,0.0086311992214291,g,0.104
17.915700367216743,0.0086311992214291,g,0.105
17.914717377965022,0.0086311992214291,g,0.106
17.91374254567713,0.0086311992214291,g,0.107
17.912775900194468,0.0086311992214291,g,0.108
17.911817470953913,0.0086311992214291,g,0.109
17.910867286956616,0.0086311992214291,g,0.11
17.9099253767998,0.0086311992214291,g,0.111
17.90899176867659,0.0086311992214291,g,0.112
17.90806649034567,0.0086311992214291,g,0.113
17.907149569165732,0.0086311992214291,g,0.114
17.90624103207875,0.0086311992214291,g,0.115
17.9053409056138,0.0086311992214291,g,0.116
17.90444921588741,0.0086311992214291,g,0.117
17.90356598860406,0.0086311992214291,g,0.118
17.90269124905659,0.0086311992214291,g,0.119
17.90182502212675,0.0086274503765596,g,0.12
17.900967332285667,0.0086274503765596,g,0.121
17.900118203597504,0.0086274503765596,g,0.122
17.899277659704676,0.0086274503765596,g,0.123
17.898445723859144,0.0086274503765596,g,0.124
17.89762241889536,0.0086274503765596,g,0.125
17.896807767234286,0.0086274503765596,g,0.126
17.89600179089902,0.0086274503765596,g,0.127
17.89520451150349,0.0086274503765596,g,0.128
17.894415950256164,0.0086274503765596,g,0.129
17.893636127960892,0.0086274503765596,g,0.13
17.892865065017638,0.0086274503765596,g,0.131
17.892102781423315,0.0086274503765596,g,0.132
17.891349296772646,0.0086274503765596,g,0.133
17.89060463025899,0.0086274503765596,g,0.134
17.889868800675313,0.0086274503765596,g,0.135
17.889141826415003,0.0086274503765596,g,0.136
17.888423725472908,0.0086274503765596,g,0.137
17.88771451544621,0.0086274503765596,g,0.138
17.8870142135355,0.0086274503765596,g,0.139
17.886322836548235,0.0086274503765596,g,0.14
17.88564040088977,0.0086274503765596,g,0.141
17.884966922577032,0.0086274503765596,g,0.142
17.884302417241756,0.0086274503765596,g,0.143
17.88364690010968,0.0086274503765596,g,0.144
17.88300038602376,0.0086274503765596,g,0.145
17.882362889444757,0.0086274503765596,g,0.146
17.881734424431524,0.0086274503765596,g,0.147
17.881115004665524,0.0086274503765596,g,0.148
17.880504643440375,0.0086274503765596,g,0.149
17.879903353665398,0.0086274503765596,g,0.15
17.87931114786688,0.0086274503765596,g,0.151
17.878728038189315,0.0086274503765596,g,0.152
17.878154036396722,0.0086274503765596,g,0.153
17.87758915387392,0.0086274503765596,g,0.154
17.877033401627862,0.0086274503765596,g,0.155
17.87648679029095,0.0086274503765596,g,0.156
17.875949330112544,0.0086274503765596,g,0.157
17.87542103098002,0.0086274503765596,g,0.158
17.874901902402353,0.0086274503765596,g,0.159
17.87439195351202,0.0086274503765596,g,0.16
17.873891193084948,0.0086274503765596,g,0.161
17.87339962951602,0.0086274503765596,g,0.162
17.87291727083908,0.0086274503765596,g,0.163
17.872444124727892,0.0086274503765596,g,0.164
17.871980198482074,0.0086274503765596,g,0.165
17.87152549904601,0.0086274503765596,g,0.166
17.871080033001686,0.0086274503765596,g,0.167
