Mag,Err,band,Phase
18.86605175923972,0.0083049924744095,g,0.0
18.867038479575356,0.0083049924744095,g,0.001
18.868022700381594,0.0083049924744095,g,0.002
18.86900439805756,0.0083049924744095,g,0.003
18.86998354883752,0.0083049924744095,g,0.004
18.87096012884645,0.0083049924744095,g,0.005
18.871934114041828,0.0083049924744095,g,0.006
18.87290548026196,0.0083049924744095,g,0.007
18.873874203203304,0.008302312930744,g,0.008
18.874840258405168,0.008302312930744,g,0.009
18.875803621262705,0.008302312930744,g,0.01
18.87676426704665,0.008302312930744,g,0.011
18.87772217085324,0.008302312930744,g,0.012
18.878677307652005,0.008302312930744,g,0.013
18.87962965226381,0.008302312930744,g,0.014
18.88057917933906,0.008302312930744,g,0.015
18.881525863405276,0.008302312930744,g,0.016
18.88246967881776,0.008302312930744,g,0.017
18.8834105997796,0.008302312930744,g,0.018
18.88434860035448,0.008302312930744,g,0.019
18.88528365445213,0.008302312930744,g,0.02
18.88621573580732,0.008302312930744,g,0.021
18.887144818026783,0.008302312930744,g,0.022
18.88807087453436,0.008302312930744,g,0.023
18.8889938786245,0.008302312930744,g,0.024
18.889913803407875,0.008302312930744,g,0.025
18.890830621858026,0.008302312930744,g,0.026
18.891744306790624,0.008302312930744,g,0.027
18.892654830843355,0.008302312930744,g,0.028
18.89356216652205,0.008302312930744,g,0.029
18.894466286154035,0.008302312930744,g,0.03
18.89536716190788,0.008302312930744,g,0.031
18.896264765806297,0.008302312930744,g,0.032
18.897159069712835,0.008302312930744,g,0.033
18.89805004531239,0.008299644570703,g,0.034
18.89893766415671,0.008299644570703,g,0.035
18.899821897612608,0.008299644570703,g,0.036
18.90070271691372,0.008299644570703,g,0.037
18.901580093109203,0.008299644570703,g,0.038
18.902453997115227,0.008299644570703,g,0.039
18.903324399664143,0.008299644570703,g,0.04
18.90419127134943,0.008299644570703,g,0.041
18.905054582606827,0.008299644570703,g,0.042
18.90591430370232,0.008299644570703,g,0.043
18.906770404745256,0.008299644570703,g,0.044
18.907622855707505,0.008299644570703,g,0.045
18.90847162638048,0.008299644570703,g,0.046
18.909316686419253,0.008299644570703,g,0.047
18.910158005324543,0.008299644570703,g,0.048
18.91099555242521,0.0082969874050766,g,0.049
18.911829296921823,0.0082969874050766,g,0.05
18.9126592078448,0.0082969874050766,g,0.051
18.91348525407374,0.0082969874050766,g,0.052
18.914307404350307,0.0082969874050766,g,0.053
18.915125627267045,0.0082969874050766,g,0.054
