Mag,Phase,band
17.563875851179212,0.0,g
17.56423894806643,0.001,g
17.564626685862585,0.002,g
17.565038945333214,0.003,g
17.565475585972276,0.004,g
17.56593644632179,0.005,g
17.566421344316094,0.006,g
17.566930077650035,0.007,g
17.567462424170618,0.008,g
17.568018142291308,0.009000000000000001,g
17.568596971428384,0.01,g
17.569198632458566,0.011,g
17.569822828197214,0.012,g
17.570469243896394,0.013000000000000001,g
17.571137547761857,0.014,g
17.57182739148835,0.015,g
17.57253841081226,0.016,g
17.573270226080858,0.017,g
17.5740224428372,0.018000000000000002,g
17.57479465241991,0.019,g
17.57558643257688,0.02,g
17.576397348092,0.021,g
17.57722695142406,0.022,g
17.5780747833568,0.023,g
17.578940373659304,0.024,g
17.579823241755644,0.025,g
17.580722897403003,0.026000000000000002,g
17.58163884137716,0.027,g
17.582570566164478,0.028,g
17.58351755665938,0.029,g
17.58447929086644,0.03,g
17.585455240606013,0.031,g
17.586444872222486,0.032,g
17.587447647294226,0.033,g
17.588463023344275,0.034,g
17.58949045455071,0.035,g
17.590529392455938,0.036000000000000004,g
17.591579286673777,0.037,g
17.592639585593574,0.038,g
17.593709737080275,0.039,g
17.594789189169706,0.04,g
17.59587739075801,0.041,g
17.596973792284462,0.042,g
17.598077846406802,0.043000000000000003,g
17.59918900866811,0.044,g
17.600306738154558,0.045,g
17.60143049814307,0.046,g
17.602559756738195,0.047,g
17.603693987497348,0.048,g
17.604832670043677,0.049,g
17.605975290665864,0.05,g
17.607121342904037,0.051000000000000004,g
17.608270328121243,0.052000000000000005,g
17.60942175605966,0.053,g
17.61057514538106,0.054,g
17.611730024190724,0.055,g
17.612885930544433,0.056,g
17.61404241293778,0.057,g
17.615199030777372,0.058,g
17.61635535483334,0.059000000000000004,g
17.617510967672803,0.06,g
17.618665464073676,0.061,g
17.619818451418503,0.062,g
17.620969550067894,0.063,g
17.62211839371322,0.064,g
17.623264629708213,0.065,g
17.62440791937918,0.066,g
17.625547938313577,0.067,g
17.626684376626702,0.068,g
17.627816939206298,0.069,g
17.628945345934866,0.07,g
17.63006933188961,0.07100000000000001,g
17.63118864751989,0.07200000000000001,g
17.632303058802027,0.073,g
17.633412347371532,0.074,g
17.634516310632677,0.075,g
17.635614761845417,0.076,g
17.636707530189785,0.077,g
17.63779446080776,0.078,g
17.638875414822746,0.079,g
17.639950269336854,0.08,g
17.64101891740609,0.081,g
17.64208126799366,0.082,g
17.6431372459017,0.083,g
17.64418679168157,0.084,g
17.645229861523145,0.085,g
17.646266427123237,0.08600000000000001,g
17.6472964755337,0.08700000000000001,g
17.64832000898942,0.088,g
17.649337044716646,0.089,g
17.650347614722143,0.09,g
17.651351765563497,0.091,g
17.65234955810109,0.092,g
17.653341067232358,0.093,g
17.654326381608577,0.094,g
17.65530560333497,0.095,g
17.656278847654576,0.096,g
17.657246242616445,0.097,g
17.658207928728803,0.098,g
17.659164058597714,0.099,g
17.660114796552044,0.1,g
17.661060318255068,0.101,g
17.662000810303724,0.10200000000000001,g
17.66293646981594,0.10300000000000001,g
17.663867504006788,0.10400000000000001,g
17.66479412975418,0.105,g
17.665716573154832,0.106,g
17.66663506907109,0.107,g
17.66754986066952,0.108,g
17.66846119895185,0.109,g
17.669369342279023,0.11,g
17.67027455588919,0.111,g
17.67117711141026,0.112,g
17.672077286367863,0.113,g
17.672975363689403,0.114,g
17.67387163120499,0.115,g
17.67476638114596,0.116,g
17.67565990964183,0.117,g
17.67655251621627,0.11800000000000001,g
