Mag,Phase,band
17.098031156603927,0.0,g
17.097841308841932,0.001,g
17.097656260926087,0.002,g
17.097476012294234,0.003,g
17.097300562067296,0.004,g
17.097129909050558,0.005,g
17.096964051734986,0.006,g
17.096802988298617,0.007,g
17.096646716607914,0.008,g
17.09649523421922,0.009000000000000001,g
17.09634853838021,0.01,g
17.096206626031364,0.011,g
17.096069493807498,0.012,g
17.095937138039325,0.013000000000000001,g
17.095809554755007,0.014,g
17.095686739681778,0.015,g
17.09556868824758,0.016,g
17.095455395582746,0.017,g
17.09534685652167,0.018000000000000002,g
17.09524306560455,0.019,g
17.095144017079146,0.02,g
17.09504970490255,0.021,g
17.094960122743007,0.022,g
17.094875263981738,0.023,g
17.09479512171483,0.024,g
17.094719688755102,0.025,g
17.094648957634035,0.026000000000000002,g
17.09458292060372,0.027,g
17.09452156963882,0.028,g
17.094464896438573,0.029,g
17.094412892428803,0.03,g
17.09436554876398,0.031,g
17.09432285632928,0.032,g
17.09428480574268,0.033,g
17.09425138735708,0.034,g
17.094222591262437,0.035,g
17.094198407287944,0.036000000000000004,g
17.094178825004203,0.037,g
17.094163833725435,0.038,g
17.09415342251173,0.039,g
17.094147580171263,0.04,g
17.094146295262615,0.041,g
17.09414955609703,0.042,g
17.09415735074074,0.043000000000000003,g
17.09416966701732,0.044,g
17.094186492510005,0.045,g
17.094207814564108,0.046,g
17.09423362028938,0.047,g
17.094263896562428,0.048,g
17.09429863002916,0.049,g
17.094337807107216,0.05,g
17.094381413988444,0.051000000000000004,g
17.09442943664136,0.052000000000000005,g
17.094481860813673,0.053,g
17.09453867203479,0.054,g
17.09459985561833,0.055,g
17.09466539666469,0.056,g
17.09473528006361,0.057,g
17.09480949049669,0.058,g
17.094888012440066,0.059000000000000004,g
17.094970830166947,0.06,g
17.095057927750247,0.061,g
17.095149289065223,0.062,g
17.0952448977921,0.063,g
17.09534473741873,0.064,g
17.09544879124326,0.065,g
17.095557042376804,0.066,g
17.095669473746113,0.067,g
17.09578606809629,0.068,g
17.095906807993483,0.069,g
17.096031675827618,0.07,g
17.096160653815087,0.07100000000000001,g
17.09629372400152,0.07200000000000001,g
17.0964308682645,0.073,g
17.096572068316302,0.074,g
17.096717305706694,0.075,g
17.096866561825635,0.076,g
17.097019817906094,0.077,g
17.09717705502681,0.078,g
17.097338254115034,0.079,g
17.097503395949385,0.08,g
17.097672461162585,0.081,g
17.097845430244266,0.082,g
17.098022283543763,0.083,g
17.09820300127294,0.084,g
17.09838756350895,0.085,g
17.098575950197077,0.08600000000000001,g
17.098768141153545,0.08700000000000001,g
17.098964116068288,0.088,g
17.0991638545078,0.089,g
17.09936733591794,0.09,g
17.099574539626733,0.091,g
