Mag,Phase,band
17.618011925171015,0.0,g
17.615792640210945,0.001,g
17.61357079558577,0.002,g
17.61134664102426,0.003,g
17.60912042634721,0.004,g
17.60689240140694,0.005,g
17.60466281602679,0.006,g
17.60243191994064,0.007,g
17.600199962732535,0.008,g
17.597967193776352,0.009000000000000001,g
17.59573386217555,0.01,g
17.59350021670308,0.011,g
17.591266505741395,0.012,g
17.58903297722263,0.013000000000000001,g
17.586799878568936,0.014,g
17.584567456633042,0.015,g
17.582335957639,0.016,g
17.580105627123135,0.017,g
17.577876709875316,0.018000000000000002,g
17.57564944988043,0.019,g
17.573424090260158,0.02,g
17.571200873215084,0.021,g
17.568980039967077,0.022,g
17.566761830702045,0.023,g
17.564546484513063,0.024,g
17.562334239343834,0.025,g
17.56012533193257,0.026000000000000002,g
17.55791999775631,0.027,g
17.555718470975613,0.028,g
17.55352098437973,0.029,g
17.551327769332268,0.03,g
17.549139055717273,0.031,g
17.54695507188586,0.032,g
17.544776044603353,0.033,g
17.54260219899693,0.034,g
17.54043375850387,0.035,g
17.53827094482028,0.036000000000000004,g
17.536113977850516,0.037,g
17.533963075657088,0.038,g
17.531818454411262,0.039,g
17.52968032834425,0.04,g
17.52754890969905,0.041,g
17.52542440868294,0.042,g
17.523307033420668,0.043000000000000003,g
17.5211969899083,0.044,g
17.519094481967795,0.045,g
17.516999711202264,0.046,g
17.514912876952007,0.047,g
17.512834176251243,0.048,g
17.510763803785643,0.049,g
17.508701951850597,0.05,g
17.506648810310264,0.051000000000000004,g
17.504604566557465,0.052000000000000005,g
17.50256940547432,0.053,g
17.500543509393733,0.054,g
17.498527058061743,0.055,g
17.496520228600637,0.056,g
17.494523195473004,0.057,g
17.492536130446585,0.058,g
17.490559202560032,0.059000000000000004,g
17.48859257808956,0.06,g
17.48663642051647,0.061,g
17.48469089049557,0.062,g
17.482756145824577,0.063,g
17.48083234141434,0.064,g
17.47891962926008,0.065,g
17.47701815841353,0.066,g
17.47512807495601,0.067,g
17.473249521972534,0.068,g
17.47138263952677,0.069,g
17.46952756463705,0.07,g
17.46768443125334,0.07100000000000001,g
17.46585337023517,0.07200000000000001,g
17.464034509330595,0.073,g
17.462227973156104,0.074,g
17.460433883177576,0.075,g
17.458652357692188,0.076,g
17.4568835118114,0.077,g
17.455127457444902,0.078,g
17.4533843032856,0.079,g
17.451654154795623,0.08,g
17.44993711419336,0.081,g
17.44823328044152,0.082,g
17.44654274923621,0.083,g
17.444865612997095,0.084,g
17.443201960858524,0.085,g
17.441551878661766,0.08600000000000001,g
17.439915448948213,0.08700000000000001,g
17.438292750953686,0.088,g
17.43668386060375,0.089,g
17.435088850510052,0.09,g
17.43350778996774,0.091,g
17.4319407449539,0.092,g
17.43038777812701,0.093,g
17.428848948827493,0.094,g
17.42732431307921,0.095,g
17.425813923592113,0.096,g
17.424317829765794,0.097,g
17.422836077694164,0.098,g
17.421368710171116,0.099,g
17.41991576669721,0.1,g
17.418477283487377,0.101,g
17.417053293479665,0.10200000000000001,g
17.415643826344958,0.10300000000000001,g
17.414248908497722,0.10400000000000001,g
17.41286856310773,0.105,g
17.411502810112818,0.106,g
17.410151666232615,0.107,g
17.408815144983233,0.108,g
17.40749325669295,0.109,g
17.406186008518894,0.11,g
17.40489340446464,0.111,g
17.4036154453988,0.112,g
17.402352129074522,0.113,g
17.401103450149982,0.114,g
17.399869400209777,0.115,g
17.398649967787218,0.116,g
17.3974451383876,0.117,g
17.39625489451231,0.11800000000000001,g
17.395079215683893,0.11900000000000001,g
17.393918078471934,0.12,g
17.392771456519892,0.121,g
