Mag,Phase,band
17.34996402229753,0.0,g
17.34818773942282,0.001,g
17.346434901801235,0.002,g
17.34470554865415,0.003,g
17.342999705305463,0.004,g
17.341317383245517,0.005,g
17.339658580205842,0.006,g
17.33802328024446,0.007,g
17.336411453841823,0.008,g
17.33482305800726,0.009000000000000001,g
17.333258036395783,0.01,g
17.331716319435213,0.011,g
17.33019782446345,0.012,g
17.32870245587587,0.013000000000000001,g
17.327230105282528,0.014,g
17.325780651675252,0.015,g
17.324353961604302,0.016,g
17.322949889364516,0.017,g
17.3215682771908,0.018000000000000002,g
17.320208955462686,0.019,g
17.318871742917935,0.02,g
17.317556446874793,0.021,g
17.316262863462928,0.022,g
17.314990777862654,0.023,g
17.31373996455236,0.024,g
17.312510187563845,0.025,g
17.311301200745383,0.026000000000000002,g
17.310112748032257,0.027,g
17.30894456372456,0.028,g
17.307796372771993,0.029,g
17.306667891065405,0.03,g
17.305558825734824,0.031,g
17.30446887545376,0.032,g
17.303397730749467,0.033,g
17.302345074318882,0.034,g
17.301310581350034,0.035,g
17.300293919848574,0.036000000000000004,g
17.299294750969167,0.037,g
17.29831272935149,0.038,g
17.297347503460472,0.039,g
17.29639871593058,0.04,g
17.29546600391372,0.041,g
17.29454899943062,0.042,g
17.293647329725218,0.043000000000000003,g
17.292760617621887,0.044,g
17.29188848188509,0.045,g
17.291030537581243,0.046,g
17.29018639644239,0.047,g
17.289355667231433,0.048,g
17.288537956108573,0.049,g
17.28773286699868,0.05,g
17.286940001959238,0.051000000000000004,g
17.286158961548573,0.052000000000000005,g
17.285389345194055,0.053,g
17.284630751559927,0.054,g
17.283882778914474,0.055,g
17.28314502549624,0.056,g
17.282417089878887,0.057,g
17.281698571334537,0.058,g
17.280989070195147,0.059000000000000004,g
17.280288188211657,0.06,g
17.27959552891065,0.061,g
17.27891069794819,0.062,g
17.2782333034605,0.063,g
17.277562956411263,0.064,g
17.276899270935157,0.065,g
17.276241864677466,0.066,g
17.275590359129335,0.067,g
17.2749443799585,0.068,g
17.274303557335166,0.069,g
17.27366752625275,0.07,g
17.2730359268433,0.07100000000000001,g
17.272408404687198,0.07200000000000001,g
17.271784611117024,0.073,g
17.271164203515234,0.074,g
17.270546845605477,0.075,g
17.269932207737234,0.076,g
17.269319967163653,0.077,g
17.26870980831221,0.078,g
17.268101423048144,0.079,g
17.267494510930312,0.08,g
17.266888779459325,0.081,g
17.26628394431776,0.082,g
17.265679729602248,0.083,g
17.265075868047283,0.084,g
17.26447210124047,0.085,g
17.263868179829228,0.08600000000000001,g
17.263263863718613,0.08700000000000001,g
17.26265892226019,0.088,g
17.262053134431834,0.089,g
17.261446289008223,0.09,g
17.26083818472202,0.091,g
17.26022863041553,0.092,g
17.259617445182784,0.093,g
17.259004458501895,0.094,g
17.258389510357624,0.095,g
17.257772451354104,0.096,g
17.257153142817547,0.097,g
17.256531456888972,0.098,g
17.255907276606877,0.099,g
17.25528049597973,0.1,g
17.254651020048343,0.101,g
17.25401876493803,0.10200000000000001,g
17.253383657900564,0.10300000000000001,g
17.252745637345896,0.10400000000000001,g
17.25210465286367,0.105,g
17.251460665234504,0.106,g
17.25081364643103,0.107,g
17.250163579608856,0.108,g
17.249510459087265,0.109,g
17.248854290319898,0.11,g
17.248195089855354,0.111,g
17.247532885287804,0.112,g
17.24686771519768,0.113,g
17.246199629082568,0.114,g
17.24552868727827,0.115,g
17.244854960870303,0.116,g
17.244178531595765,0.117,g
17.243499491735808,0.11800000000000001,g
17.2428179439988,0.11900000000000001,g
17.242134001394266,0.12,g
17.24144778709779,0.121,g
17.240759434307012,0.122,g
17.2400690860889,0.123,g
17.239376895218378,0.124,g
17.238683024008548,0.125,g
17.23798764413269,0.126,g
17.237290936438153,0.127,g
17.23659309075239,0.128,g
17.235894305681285,0.129,g
17.23519478840005,0.13,g
17.234494754436778,0.131,g
17.233794427448984,0.132,g
17.233094038993304,0.133,g
17.232393828288572,0.134,g
17.231694041972503,0.135,g
17.23099493385225,0.136,g
17.230296764649093,0.137,g
17.229599801737365,0.138,g
17.228904318878115,0.139,g
17.228210595947505,0.14,g
17.227518918660397,0.14100000000000001,g
17.226829578289262,0.14200000000000002,g
17.226142871378766,0.14300000000000002,g
17.225459099456263,0.14400000000000002,g
17.22477856873844,0.145,g
17.224101589834497,0.146,g
17.223428477445992,0.147,g
17.22275955006375,0.148,g
17.222095129662076,0.149,g
17.22143554139057,0.15,g
17.22078111326376,0.151,g
17.22013217584901,0.152,g
17.219489061952782,0.153,g
17.21885210630569,0.154,g
17.21822164524659,0.155,g
17.217598016405972,0.156,g
17.216981558389016,0.157,g
17.216372610458485,0.158,g
17.21577151221788,0.159,g
17.215178603295023,0.16,g
17.214594223026474,0.161,g
17.214018710142913,0.162,g
17.213452402455964,0.163,g
17.212895636546587,0.164,g
17.212348747455337,0.165,g
17.211812068374925,0.166,g
17.211285930345074,0.167,g
17.21077066195024,0.168,g
17.210266589020247,0.169,g
17.209774034334238,0.17,g
17.209293317328072,0.171,g
17.208824753805605,0.17200000000000001,g
17.208368655653917,0.17300000000000001,g
17.207925330562865,0.17400000000000002,g
17.207495081749165,0.17500000000000002,g
17.20707820768523,0.176,g
17.206675001833005,0.177,g
17.206285752383053,0.178,g
17.2059107419991,0.179,g
17.20555024756823,0.18,g
17.205204539956984,0.181,g
17.204873883773573,0.182,g
17.204558537136357,0.183,g
17.204258751448826,0.184,g
17.20397477118125,0.185,g
17.20370683365923,0.186,g
17.203455168859215,0.187,g
17.203219999211285,0.188,g
17.20300153940924,0.189,g
17.202799996228258,0.19,g
17.202615568350147,0.191,g
17.202448446196488,0.192,g
17.202298811769584,0.193,g
17.20216683850159,0.194,g
17.2020526911117,0.195,g
17.201956525471672,0.196,g
17.201878488479736,0.197,g
17.201818717942878,0.198,g
17.201777342467786,0.199,g
17.201754481360332,0.2,g
17.20175024453378,0.201,g
17.20176473242574,0.202,g
17.201798035923893,0.203,g
17.201850236300608,0.20400000000000001,g
17.20192140515634,0.20500000000000002,g
17.20201160437203,0.20600000000000002,g
17.202120886070347,0.20700000000000002,g
17.20224929258588,0.20800000000000002,g
17.202396856444206,0.209,g
17.202563600349972,0.21,g
17.20274953718376,0.211,g
17.202954670007877,0.212,g
17.203178992081003,0.213,g
17.203422486881585,0.214,g
17.203685128140012,0.215,g
17.20396687987947,0.216,g
17.20426769646542,0.217,g
17.20458752266362,0.218,g
17.204926293706652,0.219,g
17.20528393536876,0.22,g
17.205660364049052,0.221,g
17.206055486862805,0.222,g
17.206469201740916,0.223,g
17.206901397537226,0.224,g
17.20735195414374,0.225,g
17.20782074261346,0.226,g
17.20830762529087,0.227,g
17.208812455949715,0.228,g
17.20933507993813,0.229,g
17.20987533433079,0.23,g
17.210433048088035,0.231,g
17.21100804222173,0.232,g
17.21160012996771,0.233,g
17.212209116964637,0.234,g
17.212834801439,0.23500000000000001,g
17.213476974396258,0.23600000000000002,g
17.214135419817644,0.23700000000000002,g
17.214809914862702,0.23800000000000002,g
17.21550023007715,0.23900000000000002,g
17.216206129606007,0.24,g
17.21692737141161,0.241,g
17.21766370749646,0.242,g
17.218414884130524,0.243,g
17.21918064208291,0.244,g
17.219960716857543,0.245,g
17.220754838932717,0.246,g
17.221562734004213,0.247,g
17.222384123231787,0.248,g
17.223218723488763,0.249,g
17.22406624761448,0.25,g
17.22492640466937,0.251,g
17.22579890019243,0.252,g
17.22668343646069,0.253,g
17.227579712750753,0.254,g
17.228487425601752,0.255,g
17.22940626907977,0.256,g
17.230335935043353,0.257,g
17.23127611340984,0.258,g
17.232226492422342,0.259,g
17.233186758917007,0.26,g
17.234156598590427,0.261,g
17.23513569626685,0.262,g
17.236123736164974,0.263,g
17.2371204021641,0.264,g
17.23812537806935,0.265,g
17.23913834787573,0.266,g
17.240158996030782,0.267,g
17.2411870076956,0.268,g
17.242222069003905,0.269,g
17.243263867319058,0.27,g
17.244312091488652,0.271,g
