Mag,Phase,band
17.706631571296825,0.0,g
17.70695904087273,0.001,g
17.707284429053583,0.002,g
17.70760781887187,0.003,g
17.70792929141919,0.004,g
17.708248925772264,0.005,g
17.70856679892004,0.006,g
17.70888298569185,0.007,g
17.70919755868669,0.008,g
17.709510588203653,0.009000000000000001,g
17.709822142173604,0.01,g
17.710132286092115,0.011,g
17.71044108295368,0.012,g
17.710748593187308,0.013000000000000001,g
17.711054874593515,0.014,g
17.711359982282744,0.015,g
17.71166396861526,0.016,g
17.7119668831426,0.017,g
17.71226877255054,0.018000000000000002,g
17.71256968060375,0.019,g
17.712869648091953,0.02,g
17.713168712777954,0.021,g
17.713466909347208,0.022,g
17.71376426935928,0.023,g
17.714060821201,0.024,g
17.71435659004153,0.025,g
17.714651597789203,0.026000000000000002,g
17.714945863050353,0.027,g
17.715239401089942,0.028,g
17.715532223794284,0.029,g
17.715824339635642,0.03,g
17.716115753638885,0.031,g
17.716406467350165,0.032,g
17.716696478807652,0.033,g
17.716985782514396,0.034,g
17.71727436941325,0.035,g
17.717562226863947,0.036000000000000004,g
17.717849338622326,0.037,g
17.71813568482174,0.038,g
17.718421241956637,0.039,g
17.718705982868364,0.04,g
17.71898987673319,0.041,g
17.719272889052558,0.042,g
17.71955498164561,0.043000000000000003,g
17.71983611264393,0.044,g
17.72011623648861,0.045,g
17.72039530392958,0.046,g
17.720673262027194,0.047,g
17.720950054156173,0.048,g
17.72122562001179,0.049,g
17.721499895618386,0.05,g
17.721772813340205,0.051000000000000004,g
17.72204430189452,0.052000000000000005,g
17.722314286367034,0.053,g
17.722582688229654,0.054,g
17.722849425360508,0.055,g
17.723114412066302,0.056,g
17.723377559106908,0.057,g
17.7236387737223,0.058,g
17.723897959661727,0.059000000000000004,g
17.724155017215153,0.06,g
17.724409843246963,0.061,g
17.724662331231897,0.062,g
17.72491237129318,0.063,g
17.72515985024294,0.064,g
17.725404651624743,0.065,g
17.72564665575832,0.066,g
17.72588573978648,0.067,g
17.72612177772411,0.068,g
17.726354640509307,0.069,g
17.726584196056614,0.07,g
17.72681030931228,0.07100000000000001,g
17.727032842311612,0.07200000000000001,g
17.727251654238245,0.073,g
17.727466601485492,0.074,g
17.727677537719593,0.075,g
17.727884313944873,0.076,g
17.728086778570802,0.077,g
17.72828477748092,0.078,g
17.728478154103563,0.079,g
17.728666749484383,0.08,g
17.728850402360578,0.081,g
17.72902894923691,0.082,g
17.729202224463286,0.083,g
17.729370060314054,0.084,g
17.729532287068842,0.085,g
17.729688733094967,0.08600000000000001,g
17.729839224931297,0.08700000000000001,g
17.729983587373646,0.088,g
17.73012164356152,0.089,g
17.730253215066245,0.09,g
17.73037812198044,0.091,g
17.73049618300871,0.092,g
17.73060721555964,0.093,g
17.730711035838873,0.094,g
17.730807458943374,0.095,g
17.730896298956754,0.096,g
17.730977369045593,0.097,g
17.731050481556768,0.098,g
17.73111544811567,0.099,g
17.731172079725273,0.1,g
17.73122018686606,0.101,g
17.731259579596657,0.10200000000000001,g
17.731290067655166,0.10300000000000001,g
17.731311460561187,0.10400000000000001,g
17.73132356771835,0.105,g
17.73132619851745,0.106,g
17.731319162440034,0.107,g
17.731302269162352,0.108,g
17.731275328659745,0.109,g
17.731238151311267,0.11,g
17.731190548004573,0.111,g
17.731132330241024,0.112,g
17.731063310240838,0.113,g
17.73098330104836,0.114,g
17.730892116637342,0.115,g
17.730789572016132,0.116,g
17.730675483332774,0.117,g
17.730549667979943,0.11800000000000001,g
17.7304119446996,0.11900000000000001,g
17.730262133687443,0.12,g
17.730100056696934,0.121,g
17.729925537142897,0.122,g
17.729738400204774,0.123,g
17.729538472929203,0.124,g
17.72932558433209,0.125,g
17.729099565500064,0.126,g
17.728860249691127,0.127,g
17.72860747243468,0.128,g
17.7283410716306,0.129,g
17.728060887647548,0.13,g
17.7277667634203,0.131,g
17.727458544546067,0.132,g
17.727136079379836,0.133,g
17.726799219128598,0.134,g
17.726447817944354,0.135,g
17.72608173301603,0.136,g
17.72570082466004,0.137,g
17.725304956409612,0.138,g
17.72489399510269,0.139,g
17.724467810968452,0.14,g
17.724026277712383,0.14100000000000001,g
17.72356927259979,0.14200000000000002,g
17.7230966765378,0.14300000000000002,g
17.722608374155712,0.14400000000000002,g
17.72210425388372,0.145,g
17.721584208029917,0.146,g
17.72104813285554,0.147,g
17.72049592864846,0.148,g
17.719927499794796,0.149,g
17.719342754848668,0.15,g
17.718741606600037,0.151,g
17.718123972140553,0.152,g
17.717489772927458,0.153,g
17.716838934845402,0.154,g
17.71617138826619,0.155,g
17.715487068106455,0.156,g
17.714785913883134,0.157,g
17.71406786976683,0.158,g
17.71333288463288,0.159,g
17.71258091211026,0.16,g
17.711811910628157,0.161,g
17.711025843460288,0.162,g
17.710222678766865,0.163,g
17.709402389634207,0.164,g
17.708564954111978,0.165,g
17.70771035524802,0.166,g
17.706838581120778,0.167,g
17.705949624869234,0.168,g
17.70504348472046,0.169,g
17.7041201640146,0.17,g
17.70317967122741,0.171,g
17.702222019990245,0.17200000000000001,g
17.70124722910758,0.17300000000000001,g
17.700255322571916,0.17400000000000002,g
17.6992463295762,0.17500000000000002,g
17.698220284523646,0.176,g
17.697177227034977,0.177,g
17.696117201953168,0.178,g
17.695040259345514,0.179,g
17.693946454503177,0.18,g
17.692835847938113,0.181,g
17.69170850537746,0.182,g
17.690564497755286,0.183,g
17.68940390120178,0.184,g
17.68822679702987,0.185,g
