Mag,Err,band,Phase
18.421863016218143,0.0091301697684106,g,0.0
18.421433511278316,0.0091301697684106,g,0.001
18.420949209391686,0.0091301697684106,g,0.002
18.420411677534297,0.0091301697684106,g,0.003
18.419822720353796,0.0091301697684106,g,0.004
18.419184370951047,0.0091301697684106,g,0.005
18.418498880536628,0.0091301697684106,g,0.006
18.41776870706126,0.0091301697684106,g,0.007
18.41699650284279,0.0091301697684106,g,0.008
18.41618510130671,0.0091301697684106,g,0.009
18.41533750289507,0.0091301697684106,g,0.01
18.41445686021626,0.0091301697684106,g,0.011
18.413546462565385,0.0091301697684106,g,0.012
18.412609719865237,0.0091301697684106,g,0.013
18.411650146116298,0.0091301697684106,g,0.014
18.410671342497785,0.0091301697684106,g,0.015
18.40967698015959,0.0091301697684106,g,0.016
18.408670782823656,0.0091301697684106,g,0.017
18.407656509319043,0.0091301697684106,g,0.018
18.406637936073302,0.0091253547876233,g,0.019
18.40561883974468,0.0091253547876233,g,0.02
18.404602980025647,0.0091253547876233,g,0.021
18.40359408271093,0.0091253547876233,g,0.022
18.402595823170344,0.0091253547876233,g,0.023
18.401611810248696,0.0091253547876233,g,0.024
18.40064557071413,0.0091301697684106,g,0.025
18.39970053432103,0.0091301697684106,g,0.026
18.39878001955312,0.0091301697684106,g,0.027
18.39788722013928,0.0091301697684106,g,0.028
18.39702519238268,0.0091301697684106,g,0.029
18.3961968433536,0.0091301697684106,g,0.03
18.39540492004387,0.0091301697684106,g,0.031
18.394651999475155,0.0091301697684106,g,0.032
18.39394047983462,0.0091301697684106,g,0.033
18.393272572660976,0.0091301697684106,g,0.034
18.392650296110197,0.0091301697684106,g,0.035
18.392075469314506,0.0091349931581802,g,0.036
18.391549707872084,0.0091349931581802,g,0.037
18.39107442043105,0.0091349931581802,g,0.038
18.390650806420684,0.0091349931581802,g,0.039
18.39027985488184,0.0091349931581802,g,0.04
18.38996234440627,0.0091349931581802,g,0.041
18.38969884415887,0.0091398249436189,g,0.042
18.389489715959225,0.0091398249436189,g,0.043
18.389335117389155,0.0091398249436189,g,0.044
18.38923500589615,0.0091398249436189,g,0.045
18.389189143839246,0.0091398249436189,g,0.046
18.389197104440797,0.0091398249436189,g,0.047
18.38925827858623,0.0091446651114187,g,0.048
18.38937188241564,0.0091446651114187,g,0.049
18.38953696564725,0.0091446651114187,g,0.05
18.389752420567543,0.0091446651114187,g,0.051
18.39001699162297,0.0091446651114187,g,0.052
18.390329285533905,0.0091446651114187,g,0.053
18.39068778187201,0.0091446651114187,g,0.054
18.39109084401528,0.0091446651114187,g,0.055
18.39153673040346,0.0091495136482766,g,0.056
18.392023606026783,0.0091495136482766,g,0.057
18.392549554061105,0.0091495136482766,g,0.058
18.39311258757475,0.0091495136482766,g,0.059
18.39371066123666,0.0091495136482766,g,0.06
18.39434168292809,0.0091495136482766,g,0.061
18.39500352521877,0.0091495136482766,g,0.062
18.395694036606,0.0091495136482766,g,0.063
18.396411052451608,0.0091495136482766,g,0.064
18.397152405557787,0.0091495136482766,g,0.065
18.397915936328648,0.0091495136482766,g,0.066
18.39869950241727,0.0091495136482766,g,0.067
18.399500987857667,0.0091495136482766,g,0.068
18.400318311572352,0.0091446651114187,g,0.069
18.40114943526729,0.0091446651114187,g,0.07
18.40199237063187,0.0091446651114187,g,0.071
18.40284518580621,0.0091446651114187,g,0.072
18.40370601112692,0.0091446651114187,g,0.073
18.404573044084653,0.0091446651114187,g,0.074
18.405444553484436,0.0091446651114187,g,0.075
18.40631888280601,0.0091446651114187,g,0.076
18.407194452768955,0.0091446651114187,g,0.077
18.408069763054463,0.0091446651114187,g,0.078
18.408943393254567,0.0091446651114187,g,0.079
18.409814002994068,0.0091398249436189,g,0.08
18.41068033130787,0.0091398249436189,g,0.081
18.41154119524989,0.0091398249436189,g,0.082
18.41239548777365,0.0091398249436189,g,0.083
18.41324217492924,0.0091398249436189,g,0.084
18.414080292426554,0.0091398249436189,g,0.085
18.41490894156384,0.0091398249436189,g,0.086
18.415727284633324,0.0091398249436189,g,0.087
18.416534539794085,0.0091398249436189,g,0.088
18.417329975530954,0.0091349931581802,g,0.089
18.418112904715,0.0091349931581802,g,0.09
18.4188826783406,0.0091349931581802,g,0.091
18.41963867901387,0.0091349931581802,g,0.092
18.420380314269813,0.0091349931581802,g,0.093
18.42110700974806,0.0091349931581802,g,0.094
18.421818202345133,0.0091349931581802,g,0.095
18.4225133333856,0.0091349931581802,g,0.096
18.423191841891924,0.0091301697684106,g,0.097
18.42385315802978,0.0091301697684106,g,0.098
18.424496696781542,0.0091301697684106,g,0.099
18.42512185193288,0.0091301697684106,g,0.1
18.42572799044408,0.0091301697684106,g,0.101
18.426314447237324,0.0091301697684106,g,0.102
18.42688052049948,0.0091301697684106,g,0.103
18.42742546753341,0.0091301697684106,g,0.104
18.427948501219444,0.0091301697684106,g,0.105
18.42844878713361,0.0091253547876233,g,0.106
18.42892544137347,0.0091253547876233,g,0.107
18.429377529111,0.0091253547876233,g,0.108
18.429804063942456,0.0091253547876233,g,0.109
18.43020400801996,0.0091253547876233,g,0.11
18.430576273021845,0.0091253547876233,g,0.111
18.430919721959523,0.0091253547876233,g,0.112
18.431233171835803,0.0091253547876233,g,0.113
18.431515397156776,0.0091253547876233,g,0.114
18.431765134297223,0.0091253547876233,g,0.115
18.431981086698503,0.0091253547876233,g,0.116
18.432161930901557,0.0091253547876233,g,0.117
18.43230632336895,0.0091253547876233,g,0.118
18.432412908082217,0.0091253547876233,g,0.119
18.43248032487352,0.0091253547876233,g,0.12
18.432507218443547,0.0091253547876233,g,0.121
18.432492248024523,0.0091253547876233,g,0.122
18.432434097627997,0.0091253547876233,g,0.123
18.432331486820416,0.0091301697684106,g,0.124
18.432183181958123,0.0091301697684106,g,0.125
18.43198800781184,0.0091301697684106,g,0.126
18.43174485951098,0.0091301697684106,g,0.127
18.431452714715576,0.0091301697684106,g,0.128
18.43111064595095,0.0091301697684106,g,0.129
18.43071783300464,0.0091301697684106,g,0.13
18.43027357530053,0.0091301697684106,g,0.131
18.429777304173506,0.0091301697684106,g,0.132
18.42922859492704,0.0091301697684106,g,0.133
18.42862717860118,0.0091301697684106,g,0.134
18.427972953363582,0.0091349931581802,g,0.135
18.42726599540145,0.0091349931581802,g,0.136
18.42650656925101,0.0091349931581802,g,0.137
18.425695137472037,0.0091349931581802,g,0.138
18.424832369561663,0.0091349931581802,g,0.139
18.423919150040803,0.0091349931581802,g,0.14
18.422956585626377,0.0091349931581802,g,0.141
18.421946011400617,0.0091349931581802,g,0.142
18.42088899594316,0.0091349931581802,g,0.143
18.419787345297795,0.0091349931581802,g,0.144
18.41864310576291,0.0091349931581802,g,0.145
18.41745856544339,0.0091349931581802,g,0.146
18.416236254487806,0.0091349931581802,g,0.147
18.41497894399789,0.0091301697684106,g,0.148
18.413689643566936,0.0091301697684106,g,0.149
18.412371597406885,0.0091301697684106,g,0.15
18.41102827909629,0.0091301697684106,g,0.151
18.409663384859552,0.0091301697684106,g,0.152
18.408280825445,0.0091301697684106,g,0.153
18.40688471659521,0.0091301697684106,g,0.154
18.405479368111525,0.0091349931581802,g,0.155
18.40406927152029,0.0091349931581802,g,0.156
18.402659086452783,0.0091349931581802,g,0.157
18.40125362567813,0.0091349931581802,g,0.158
18.399857838948986,0.0091349931581802,g,0.159
18.39847679561624,0.0091349931581802,g,0.16
18.397115666159028,0.0091349931581802,g,0.161
18.39577970268905,0.0091349931581802,g,0.162
18.3944742184982,0.0091349931581802,g,0.163
18.39320456672631,0.0091349931581802,g,0.164
18.3919761183149,0.0091349931581802,g,0.165
18.390794239285132,0.0091398249436189,g,0.166
18.389664267455167,0.0091398249436189,g,0.167
18.388591488774825,0.0091398249436189,g,0.168
18.3875811133113,0.0091398249436189,g,0.169
18.38663825108395,0.0091398249436189,g,0.17
18.385767887832085,0.0091398249436189,g,0.171
18.384974860842647,0.0091398249436189,g,0.172
18.384263835013805,0.0091398249436189,g,0.173
18.38363927923941,0.0091398249436189,g,0.174
18.38310544325625,0.0091398249436189,g,0.175
18.382666335117623,0.0091398249436189,g,0.176
18.382325699379003,0.0091398249436189,g,0.177
18.382086996161025,0.0091398249436189,g,0.178
18.38195338119387,0.0091398249436189,g,0.179
18.38192768697188,0.0091398249436189,g,0.18
18.38201240514362,0.0091398249436189,g,0.181
18.38220967023781,0.0091398249436189,g,0.182
18.382521244845226,0.0091349931581802,g,0.183
18.38294850634625,0.0091349931581802,g,0.184
18.383492435287643,0.0091349931581802,g,0.185
18.3841536054899,0.0091301697684106,g,0.186
18.384932175963616,0.0091301697684106,g,0.187
18.385827884713407,0.0091301697684106,g,0.188
18.38684004447004,0.0091301697684106,g,0.189
18.38796754041631,0.0091253547876233,g,0.19
18.38920882996751,0.0091253547876233,g,0.191
18.390561944577065,0.0091253547876233,g,0.192
18.392024493653427,0.0091205482291362,g,0.193
18.393593670556275,0.0091205482291362,g,0.194
18.395266260683005,0.0091205482291362,g,0.195
18.39703865162637,0.0091205482291362,g,0.196
18.39890684540132,0.0091157501062721,g,0.197
18.40086647263094,0.0091157501062721,g,0.198
18.402912808781192,0.0091157501062721,g,0.199
18.40504079221507,0.0091157501062721,g,0.2
18.40724504413665,0.0091157501062721,g,0.201
18.409519890266896,0.0091157501062721,g,0.202
18.4118593841837,0.0091157501062721,g,0.203
18.414257332215342,0.0091157501062721,g,0.204
18.41670731980603,0.0091205482291362,g,0.205
18.419202739133706,0.0091205482291362,g,0.206
18.421736818031377,0.0091205482291362,g,0.207
18.424302649849047,0.0091205482291362,g,0.208
18.42689322429279,0.0091253547876233,g,0.209
18.42950145898708,0.0091253547876233,g,0.21
18.432120231630996,0.0091301697684106,g,0.211
18.434742412571925,0.0091301697684106,g,0.212
18.4373608976586,0.0091349931581802,g,0.213
18.439968641097096,0.0091349931581802,g,0.214
18.44255868829313,0.0091398249436189,g,0.215
18.44512420836054,0.0091446651114187,g,0.216
18.447658526142508,0.0091446651114187,g,0.217
18.450155153623687,0.0091495136482766,g,0.218
18.452607820484296,0.0091495136482766,g,0.219
18.4550105036397,0.0091543705408946,g,0.22
18.457357455612566,0.0091592357759804,g,0.221
18.45964323147241,0.0091592357759804,g,0.222
18.46186271432,0.0091641093402468,g,0.223
18.464011139025224,0.0091641093402468,g,0.224
18.466084114095292,0.0091641093402468,g,0.225
