Mag,Err,band,Phase
17.97416878199965,0.0088480732365865,g,0.0
17.974999767110933,0.0088480732365865,g,0.001
17.975869753327153,0.0088480732365865,g,0.002
17.97677865961538,0.0088438057418738,g,0.003
17.977726207909328,0.0088438057418738,g,0.004
17.978711924091762,0.0088438057418738,g,0.005
17.979735139808565,0.0088438057418738,g,0.006
17.980794995070067,0.0088438057418738,g,0.007
17.98189044163886,0.0088438057418738,g,0.008
17.983020247185106,0.0088438057418738,g,0.009
17.984183000205164,0.0088395474997309,g,0.01
17.985377115637966,0.0088395474997309,g,0.011
17.986600841224803,0.0088395474997309,g,0.012
17.987852264527618,0.0088395474997309,g,0.013
17.989129320569,0.0088395474997309,g,0.014
17.990429800141367,0.0088395474997309,g,0.015
17.99175135862064,0.0088352985235361,g,0.016
17.99309152539011,0.0088352985235361,g,0.017
17.99444771369977,0.0088352985235361,g,0.018
17.995817231017902,0.0088352985235361,g,0.019
17.997197289775723,0.0088352985235361,g,0.02
17.99858501849276,0.0088352985235361,g,0.021
17.999977473177726,0.0088352985235361,g,0.022
18.00137164906156,0.0088352985235361,g,0.023
18.002764492468625,0.0088352985235361,g,0.024
18.00415291293202,0.0088352985235361,g,0.025
18.005533795356925,0.0088352985235361,g,0.026
18.00690401228648,0.0088352985235361,g,0.027
18.0082604361599,0.0088352985235361,g,0.028
18.00959995154553,0.0088395474997309,g,0.029
18.01091946724056,0.0088395474997309,g,0.03
18.012215928288832,0.0088395474997309,g,0.031
18.013486327727943,0.0088395474997309,g,0.032
18.014727718164607,0.0088438057418738,g,0.033
18.01593722299516,0.0088438057418738,g,0.034
18.01711204732276,0.0088438057418738,g,0.035
18.01824948847271,0.0088438057418738,g,0.036
18.01934694609302,0.0088480732365865,g,0.037
18.02040193175194,0.0088480732365865,g,0.038
18.021412078076104,0.0088480732365865,g,0.039
18.022375147292685,0.0088480732365865,g,0.04
18.02328903922289,0.008852349970488,g,0.041
18.024151798653584,0.008852349970488,g,0.042
18.02496162206218,0.008852349970488,g,0.043
18.025716863699092,0.008852349970488,g,0.044
18.026416040952903,0.008852349970488,g,0.045
18.02705783903223,0.008852349970488,g,0.046
18.027641114916342,0.008852349970488,g,0.047
18.02816490057988,0.008852349970488,g,0.048
18.02862840545993,0.008852349970488,g,0.049
18.029031018201124,0.008852349970488,g,0.05
18.02937230762493,0.008852349970488,g,0.051
18.029652022977466,0.008852349970488,g,0.052
18.029870093417767,0.008852349970488,g,0.053
18.03002662678541,0.008852349970488,g,0.054
18.03012190764482,0.008852349970488,g,0.055
18.03015639462754,0.008852349970488,g,0.056
18.030130717088426,0.0088480732365865,g,0.057
18.030045671101263,0.0088480732365865,g,0.058
18.029902214817444,0.0088480732365865,g,0.059
18.029701463212405,0.0088480732365865,g,0.06
18.02944468225788,0.0088438057418738,g,0.061
18.029133282545555,0.0088438057418738,g,0.062
18.02876881240284,0.0088438057418738,g,0.063
18.028352950531897,0.0088438057418738,g,0.064
18.02788749822759,0.0088438057418738,g,0.065
18.027374371184408,0.0088438057418738,g,0.066
18.026815590979755,0.0088438057418738,g,0.067
18.026213276225292,0.0088438057418738,g,0.068
18.02556963348282,0.0088438057418738,g,0.069
18.024886947950808,0.0088438057418738,g,0.07
18.024167573990407,0.0088438057418738,g,0.071
18.02341392552127,0.0088438057418738,g,0.072
18.022628466363056,0.0088438057418738,g,0.073
18.02181370052333,0.0088438057418738,g,0.074
18.02097216251449,0.0088480732365865,g,0.075
18.02010640774969,0.0088480732365865,g,0.076
18.019219003008093,0.008852349970488,g,0.077
18.0183125170986,0.008852349970488,g,0.078
18.01738951166716,0.008852349970488,g,0.079
18.016452532278706,0.0088566359301938,g,0.08
18.0155040997446,0.0088609311023165,g,0.081
18.014546701769657,0.0088609311023165,g,0.082
18.013582784929866,0.008865235473466,g,0.083
18.01261474705304,0.008865235473466,g,0.084
18.011644929959022,0.0088695490302495,g,0.085
18.0106756126867,0.0088738717592717,g,0.086
18.009709005123693,0.0088738717592717,g,0.087
18.00874724216116,0.0088782036471349,g,0.088
18.00779237831896,0.0088825446804392,g,0.089
18.00684638289797,0.0088825446804392,g,0.09
18.00591113564866,0.0088868948457827,g,0.091
18.00498842300583,0.0088912541297614,g,0.092
18.00407993482528,0.0088912541297614,g,0.093
18.003187261723397,0.0088956225189696,g,0.094
18.0023118929172,0.0088956225189696,g,0.095
18.001455214657803,0.0088956225189696,g,0.096
18.000618509183848,0.0089,g,0.097
17.999802954224947,0.0089,g,0.098
17.99900962302336,0.0089,g,0.099
17.998239484894928,0.0089,g,0.1
17.997493406252715,0.0089043865594436,g,0.101
17.996772152155664,0.0089043865594436,g,0.102
17.996076388284123,0.0089043865594436,g,0.103
17.995406683369254,0.0089,g,0.104
17.994763512048575,0.0089,g,0.105
17.99414725807986,0.0089,g,0.106
17.993558217944546,0.0089,g,0.107
17.99299660476079,0.0088956225189696,g,0.108
17.99246255250196,0.0088956225189696,g,0.109
17.99195612047239,0.0088956225189696,g,0.11
17.991477298028414,0.0088912541297614,g,0.111
17.991026009470506,0.0088912541297614,g,0.112
17.990602119122634,0.0088868948457827,g,0.113
17.990205436508443,0.0088825446804392,g,0.114
17.989835721635608,0.0088825446804392,g,0.115
17.9894926903175,0.0088782036471349,g,0.116
17.989176019513888,0.0088782036471349,g,0.117
17.98888535264516,0.0088738717592717,g,0.118
17.988620304856997,0.0088695490302495,g,0.119
17.988380468178203,0.008865235473466,g,0.12
17.988165416566957,0.008865235473466,g,0.121
17.987974710782442,0.0088609311023165,g,0.122
17.98780790307598,0.0088609311023165,g,0.123
17.987664541653434,0.0088566359301938,g,0.124
17.987544174889642,0.008852349970488,g,0.125
17.987446355263653,0.008852349970488,g,0.126
17.98737064299493,0.0088480732365865,g,0.127
17.98731660934962,0.0088480732365865,g,0.128
17.98728383960606,0.0088438057418738,g,0.129
17.987271935652632,0.0088438057418738,g,0.13
17.987280518208575,0.0088395474997309,g,0.131
17.98730922865048,0.0088395474997309,g,0.132
17.987357730436496,0.0088395474997309,g,0.133
17.98742571011846,0.0088352985235361,g,0.134
17.98751287793839,0.0088352985235361,g,0.135
17.987618968006053,0.0088352985235361,g,0.136
17.987743738058622,0.0088352985235361,g,0.137
17.98788696880521,0.0088352985235361,g,0.138
17.98804846286459,0.0088352985235361,g,0.139
17.988228043298786,0.0088310588266639,g,0.14
17.988425551766,0.0088310588266639,g,0.141
17.988640846292704,0.0088310588266639,g,0.142
17.988873798694126,0.0088310588266639,g,0.143
17.98912429165566,0.0088310588266639,g,0.144
17.98939221550269,0.0088352985235361,g,0.145
17.989677464672287,0.0088352985235361,g,0.146
17.989979933933807,0.0088352985235361,g,0.147
