Mag,Err,band,Phase
17.39551988912582,0.0089985776653869,g,0.0
17.395861783580244,0.0089985776653869,g,0.001
17.396204482984853,0.0089985776653869,g,0.002
17.396549240771872,0.0089985776653869,g,0.003
17.39689736127097,0.0089985776653869,g,0.004
17.39725018994617,0.0089985776653869,g,0.005
17.397609103158928,0.0089985776653869,g,0.006
17.397975497549552,0.0089985776653869,g,0.007
17.39835077909251,0.0089985776653869,g,0.008
17.398736351901373,0.0089985776653869,g,0.009
17.39913360685599,0.0089985776653869,g,0.01
17.399543910132127,0.0089985776653869,g,0.011
17.399968591693558,0.0089985776653869,g,0.012
17.400408933854017,0.0089985776653869,g,0.013
17.40086615994848,0.0089985776653869,g,0.014
17.401341423221336,0.0089985776653869,g,0.015
17.401835795990618,0.0089985776653869,g,0.016
17.402350259167964,0.0089985776653869,g,0.017
17.402885692205288,0.0089985776653869,g,0.018
17.40344286354565,0.0089985776653869,g,0.019
17.404022421624052,0.0089985776653869,g,0.02
17.40462488652404,0.0089985776653869,g,0.021
17.40525064230072,0.0089985776653869,g,0.022
17.40589993006923,0.0089985776653869,g,0.023
17.406572841889037,0.0089985776653869,g,0.024
17.407269315499878,0.0089985776653869,g,0.025
17.40798912995018,0.0089985776653869,g,0.026
17.40873190216572,0.0089940035579268,g,0.027
17.409497084461808,0.0089940035579268,g,0.028
17.410283963082737,0.0089940035579268,g,0.029
17.411091657711726,0.0089940035579268,g,0.03
17.411919122053014,0.0089940035579268,g,0.031
17.41276514541397,0.0089894382471876,g,0.032
17.413628355350475,0.0089894382471876,g,0.033
17.414507221338408,0.0089894382471876,g,0.034
17.41540005948272,0.0089894382471876,g,0.035
17.416305038210997,0.0089848817465785,g,0.036
17.417220184996697,0.0089848817465785,g,0.037
17.418143393990874,0.0089848817465785,g,0.038
17.419072434629214,0.0089848817465785,g,0.039
17.420004961079584,0.0089848817465785,g,0.04
17.42093852255354,0.0089848817465785,g,0.041
17.42187057439369,0.0089803340695098,g,0.042
17.42279848989137,0.0089803340695098,g,0.043
17.423719572769915,0.0089803340695098,g,0.044
17.42463107027884,0.0089803340695098,g,0.045
17.42553018679181,0.0089803340695098,g,0.046
17.426414097902473,0.0089803340695098,g,0.047
17.4272799648579,0.0089803340695098,g,0.048
17.428124949316572,0.0089803340695098,g,0.049
17.42894622831228,0.0089803340695098,g,0.05
17.42974100935007,0.0089803340695098,g,0.051
17.430506545546624,0.0089803340695098,g,0.052
17.431240150727497,0.0089803340695098,g,0.053
17.431939214393587,0.0089803340695098,g,0.054
17.43260121646775,0.0089803340695098,g,0.055
17.433223741742676,0.0089803340695098,g,0.056
17.433804493918494,0.0089757952293933,g,0.057
17.434341309192554,0.0089757952293933,g,0.058
17.434832169262855,0.0089757952293933,g,0.059
17.43527521371094,0.0089757952293933,g,0.06
17.43566875166381,0.0089757952293933,g,0.061
17.436011272669585,0.0089757952293933,g,0.062
17.436301456716777,0.0089757952293933,g,0.063
17.436538183336307,0.0089757952293933,g,0.064
17.436720539716752,0.0089757952293933,g,0.065
17.436847827797713,0.0089757952293933,g,0.066
17.436919570271417,0.0089757952293933,g,0.067
17.4369355154675,0.0089757952293933,g,0.068
17.436895641076266,0.0089757952293933,g,0.069
17.436800156684267,0.0089757952293933,g,0.07
17.43664950509942,0.0089757952293933,g,0.071
17.436444362448178,0.0089757952293933,g,0.072
17.436185637043497,0.0089757952293933,g,0.073
17.43587446700758,0.0089757952293933,g,0.074
17.435512216678262,0.0089757952293933,g,0.075
17.43510047178309,0.0089757952293933,g,0.076
17.434641033432186,0.0089757952293933,g,0.077
17.43413591093261,0.0089757952293933,g,0.078
17.433587313473307,0.0089757952293933,g,0.079
17.432997640709733,0.0089757952293933,g,0.08
17.43236947231983,0.0089757952293933,g,0.081
17.43170555654039,0.0089803340695098,g,0.082
17.431008797806147,0.0089803340695098,g,0.083
17.430282243486396,0.0089803340695098,g,0.084
17.429529069857615,0.0089803340695098,g,0.085
17.428752567336428,0.0089848817465785,g,0.086
17.427956125080335,0.0089848817465785,g,0.087
17.427143215031446,0.0089848817465785,g,0.088
17.426317375493543,0.0089894382471876,g,0.089
17.425482194322395,0.0089894382471876,g,0.09
17.424641291855604,0.0089894382471876,g,0.091
17.42379830361474,0.0089940035579268,g,0.092
17.42295686295191,0.0089940035579268,g,0.093
17.42212058367556,0.0089940035579268,g,0.094
17.4212930427862,0.0089985776653869,g,0.095
17.420477763408567,0.0089985776653869,g,0.096
17.41967819801918,0.0089985776653869,g,0.097
17.418897712054015,0.0089985776653869,g,0.098
17.418139568020514,0.0090031605561602,g,0.099
17.417406910145612,0.0090031605561602,g,0.1
17.416702749716624,0.0090031605561602,g,0.101
17.416029951149387,0.0090031605561602,g,0.102
17.41539121886803,0.0090031605561602,g,0.103
17.414789085105145,0.0090031605561602,g,0.104
17.414225898650066,0.0090031605561602,g,0.105
17.413703814636403,0.0090031605561602,g,0.106
17.41322478541866,0.0090031605561602,g,0.107
17.412790552593115,0.0090031605561602,g,0.108
17.4124026402038,0.0089985776653869,g,0.109
17.412062349189764,0.0089985776653869,g,0.11
17.411770753076443,0.0089985776653869,g,0.111
17.411528694971945,0.0089985776653869,g,0.112
17.411336785858474,0.0089985776653869,g,0.113
17.411195404204108,0.0089940035579268,g,0.114
17.41110469689358,0.0089940035579268,g,0.115
17.411064581474275,0.0089940035579268,g,0.116
17.41107474970507,0.0089940035579268,g,0.117
17.411134672388844,0.0089894382471876,g,0.118
17.41124360546154,0.0089894382471876,g,0.119
17.41140059730065,0.0089894382471876,g,0.12
17.411604497218043,0.0089894382471876,g,0.121
17.411853965078667,0.0089894382471876,g,0.122
17.412147481998474,0.0089894382471876,g,0.123
17.41248336205386,0.0089894382471876,g,0.124
17.41285976494054,0.0089894382471876,g,0.125
17.413274709493482,0.0089894382471876,g,0.126
17.413726088016617,0.0089894382471876,g,0.127
17.414211681297974,0.0089894382471876,g,0.128
17.414729174268142,0.0089894382471876,g,0.129
17.415276172163654,0.0089894382471876,g,0.13
17.415850217134142,0.0089940035579268,g,0.131
17.416448805175325,0.0089940035579268,g,0.132
17.417069403292306,0.0089940035579268,g,0.133
17.417709466788022,0.0089940035579268,g,0.134
17.418366456580365,0.0089985776653869,g,0.135
17.419037856417162,0.0089985776653869,g,0.136
17.419721189932666,0.0089985776653869,g,0.137
17.420414037381295,0.0089985776653869,g,0.138
17.421114051995353,0.0090031605561602,g,0.139
17.421818975838516,0.0090031605561602,g,0.14
17.422526655065482,0.0090031605561602,g,0.141
17.423235054489513,0.0090031605561602,g,0.142
17.42394227137552,0.0090031605561602,g,0.143
17.424646548342594,0.0090077522168407,g,0.144
17.425346285346624,0.0090077522168407,g,0.145
17.426040050601237,0.0090077522168407,g,0.146
17.42672659041868,0.0090077522168407,g,0.147
17.42740483787716,0.0090077522168407,g,0.148
17.428073920265746,0.0090077522168407,g,0.149
17.428733165254325,0.0090077522168407,g,0.15
17.429382105745024,0.0090031605561602,g,0.151
17.43002048336952,0.0090031605561602,g,0.152
17.430648250603156,0.0090031605561602,g,0.153
