Mag,Err,band,Phase
17.871962998481568,0.008852349970488,g,0.0
17.87310278288286,0.008852349970488,g,0.001
17.87423216405368,0.0088480732365865,g,0.002
17.8753511843045,0.0088480732365865,g,0.003
17.876459892970555,0.0088480732365865,g,0.004
17.877558346354984,0.0088480732365865,g,0.005
17.878646607728957,0.0088480732365865,g,0.006
17.879724747273375,0.0088480732365865,g,0.007
17.88079284204686,0.0088480732365865,g,0.008
17.881850975935773,0.0088480732365865,g,0.009
17.88289923960043,0.0088480732365865,g,0.01
17.883937730413507,0.0088480732365865,g,0.011
17.884966552404066,0.0088438057418738,g,0.012
17.885985816165764,0.0088438057418738,g,0.013
17.886995638807957,0.0088438057418738,g,0.014
17.887996143843623,0.0088438057418738,g,0.015
17.88898746112885,0.0088438057418738,g,0.016
17.889969726749115,0.0088395474997309,g,0.017
17.89094308292944,0.0088395474997309,g,0.018
17.89190767792813,0.0088395474997309,g,0.019
17.89286366592709,0.0088395474997309,g,0.02
17.89381120691523,0.0088395474997309,g,0.021
17.894750466575207,0.0088352985235361,g,0.022
17.895681616148092,0.0088352985235361,g,0.023
17.89660483231013,0.0088352985235361,g,0.024
17.89752029703615,0.0088310588266639,g,0.025
17.898428197459854,0.0088310588266639,g,0.026
17.899328725729497,0.0088310588266639,g,0.027
17.90022207885736,0.0088310588266639,g,0.028
17.90110845857293,0.0088268284224856,g,0.029
17.90198807115544,0.0088268284224856,g,0.03
17.90286112727855,0.0088268284224856,g,0.031
17.903727841842734,0.0088226073243684,g,0.032
17.904588433805372,0.0088226073243684,g,0.033
17.905443126005363,0.0088226073243684,g,0.034
17.906292144993458,0.0088226073243684,g,0.035
17.907135720834166,0.008818395545676,g,0.036
17.907974086944364,0.008818395545676,g,0.037
17.908807479880956,0.008818395545676,g,0.038
17.909636139172818,0.008818395545676,g,0.039
17.91046030711006,0.0088141930997681,g,0.04
17.91128022855479,0.0088141930997681,g,0.041
17.912096150740002,0.0088141930997681,g,0.042
17.91290832306744,0.0088141930997681,g,0.043
17.91371699690159,0.0088141930997681,g,0.044
17.914522425370148,0.00881,g,0.045
17.915324863138988,0.00881,g,0.046
17.916124566223257,0.00881,g,0.047
17.916921791751328,0.00881,g,0.048
17.917716797772375,0.00881,g,0.049
17.918509843024633,0.00881,g,0.05
17.919301186725654,0.00881,g,0.051
17.920091088352645,0.00881,g,0.052
17.9208798074234,0.00881,g,0.053
17.9216676032749,0.00881,g,0.054
17.92245473485001,0.00881,g,0.055
17.923241460460694,0.00881,g,0.056
17.92402803758824,0.00881,g,0.057
17.924814722638992,0.00881,g,0.058
17.92560177074455,0.00881,g,0.059
17.92638943552488,0.00881,g,0.06
17.92717796887488,0.00881,g,0.061
17.927967620742848,0.00881,g,0.062
17.928758638911155,0.00881,g,0.063
17.929551268776393,0.00881,g,0.064
17.9303457531393,0.00881,g,0.065
17.931142331972868,0.0088141930997681,g,0.066
17.931941242227918,0.0088141930997681,g,0.067
17.932742717604278,0.0088141930997681,g,0.068
17.93354698834678,0.0088141930997681,g,0.069
17.93435428103455,0.0088141930997681,g,0.07
17.935164818373867,0.008818395545676,g,0.071
17.935978818991845,0.008818395545676,g,0.072
17.9367964972414,0.008818395545676,g,0.073
17.93761806298513,0.008818395545676,g,0.074
17.938443721420587,0.0088226073243684,g,0.075
17.939273672862292,0.0088226073243684,g,0.076
17.940108112573174,0.0088226073243684,g,0.077
17.940947230560294,0.0088268284224856,g,0.078
17.94179121139799,0.0088268284224856,g,0.079
17.942640234045545,0.0088268284224856,g,0.08
17.94349447167006,0.0088310588266639,g,0.081
17.944354091471652,0.0088310588266639,g,0.082
17.945219254521998,0.0088310588266639,g,0.083
17.946090115581914,0.0088352985235361,g,0.084
17.94696682296416,0.0088352985235361,g,0.085
17.94784951835166,0.0088352985235361,g,0.086
17.94873833666946,0.0088395474997309,g,0.087
17.949633405919972,0.0088395474997309,g,0.088
17.9505348470486,0.0088438057418738,g,0.089
17.951442773804622,0.0088438057418738,g,0.09
17.952357292608838,0.0088438057418738,g,0.091
17.95327850242463,0.0088480732365865,g,0.092
17.95420649464274,0.0088480732365865,g,0.093
17.955141352954712,0.0088480732365865,g,0.094
17.956083153248525,0.008852349970488,g,0.095
17.95703196350153,0.008852349970488,g,0.096
17.95798784367904,0.008852349970488,g,0.097
17.95895084564913,0.0088566359301938,g,0.098
17.959921013075522,0.0088566359301938,g,0.099
17.960898381361826,0.0088566359301938,g,0.1
17.961882977547486,0.0088566359301938,g,0.101
17.96287482026465,0.0088609311023165,g,0.102
17.963873919655097,0.0088609311023165,g,0.103
17.964880277321935,0.0088609311023165,g,0.104
17.96589388627704,0.0088609311023165,g,0.105
17.9669147308967,0.008865235473466,g,0.106
17.967942786881835,0.008865235473466,g,0.107
17.968978021236108,0.008865235473466,g,0.108
17.970020392220537,0.008865235473466,g,0.109
17.9710698493618,0.008865235473466,g,0.11
17.972126333420107,0.008865235473466,g,0.111
17.973189776394037,0.008865235473466,g,0.112
17.974260101520752,0.008865235473466,g,0.113
17.975337223284892,0.008865235473466,g,0.114
17.976421047432368,0.008865235473466,g,0.115
17.977511471002714,0.0088695490302495,g,0.116
17.978608382336756,0.0088695490302495,g,0.117
17.979711661142577,0.008865235473466,g,0.118
17.980821178506694,0.008865235473466,g,0.119
17.981936796974004,0.008865235473466,g,0.12
17.983058370582462,0.008865235473466,g,0.121
17.98418574493669,0.008865235473466,g,0.122
17.98531875727638,0.008865235473466,g,0.123
17.986457236553456,0.008865235473466,g,0.124
17.9876010035139,0.008865235473466,g,0.125
